
# DSID  events  xsec[pb]*kfac*filter    lumi            name
# ------------------------------------------------------------
301000	498000	17.478*1.0*1.0	28.49	mc15_13TeV.301000.PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYee_120M180.merge.AOD.e3649_s2576_s2132_r6869_r6282
301001 	249600 	2.9212*1.0*1.0 	85.44 	mc15_13TeV.301001.PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYee_180M250.merge.AOD.e3649_s2576_s2132_r6869_r6282
301002 	149400 	1.082*1.0*1.0 	138.08 	mc15_13TeV.301002.PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYee_250M400.merge.AOD.e3649_s2576_s2132_r6869_r6282
301003 	100000 	0.1955*1.0*1.0 	511.51 	mc15_13TeV.301003.PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYee_400M600.merge.AOD.e3649_s2576_s2132_r6869_r6282
301004 	145000 	0.037401*1.0*1.0 	3876.90		mc15_13TeV.301004.PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYee_600M800.merge.AOD.e3649_s2576_s2132_r6869_r6282
301005 	50000 	0.010607*1.0*1.0 	4713.87 	mc15_13TeV.301005.PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYee_800M1000.merge.AOD.e3649_s2576_s2132_r6869_r6282
301006 	50000 	0.0042582*1.0*1.0 	11742.05 	mc15_13TeV.301006.PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYee_1000M1250.merge.AOD.e3649_s2576_s2132_r6869_r6282
301007 	50000 	0.0014219*1.0*1.0 	35164.22 	mc15_13TeV.301007.PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYee_1250M1500.merge.AOD.e3649_s2576_s2132_r6869_r6282
301008 	49800 	0.00054521*1.0*1.0 	91340.95 	mc15_13TeV.301008.PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYee_1500M1750.merge.AOD.e3649_s2576_s2132_r6869_r6282
301009 	49600 	0.00022991*1.0*1.0 	215736.59 	mc15_13TeV.301009.PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYee_1750M2000.merge.AOD.e3649_s2576_s2132_r6869_r6282
301010 	50000 	0.00010387*1.0*1.0 	481370.94 	mc15_13TeV.301010.PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYee_2000M2250.merge.AOD.e3649_s2576_s2132_r6869_r6282
