| DSID |  Sample  | Total events | Sample Lumi [fb-1] | AMIXsec [pb] | BR  | FiltEff | Total higher order xsec [pb] | K-factor | Higher order xsec sample [pb] | 
| 187150 | mc12_13TeV.187150.PowhegPythia8_AU2CT10_WpWm_ee | 100000 | 84.8 | 1.1792  | 1.0 | 1.0 | Undefined  | 1.0 | 1.1792 | 
| 187151 | mc12_13TeV.187151.PowhegPythia8_AU2CT10_WpWm_mue | 200000 | 169.64 | 1.179  | 1.0 | 1.0 | Undefined  | 1.0 | 1.179 | 
| 187152 | mc12_13TeV.187152.PowhegPythia8_AU2CT10_WpWm_taue | 200000 | 169.64 | 1.179  | 1.0 | 1.0 | Undefined  | 1.0 | 1.179 | 
| 187153 | mc12_13TeV.187153.PowhegPythia8_AU2CT10_WpWm_emu | 200000 | 169.64 | 1.179  | 1.0 | 1.0 | Undefined  | 1.0 | 1.179 | 
| 187154 | mc12_13TeV.187154.PowhegPythia8_AU2CT10_WpWm_mumu | 100000 | 84.8 | 1.1792  | 1.0 | 1.0 | Undefined  | 1.0 | 1.1792 | 
| 187155 | mc12_13TeV.187155.PowhegPythia8_AU2CT10_WpWm_taumu | 200000 | 169.64 | 1.179  | 1.0 | 1.0 | Undefined  | 1.0 | 1.179 | 
| 187156 | mc12_13TeV.187156.PowhegPythia8_AU2CT10_WpWm_etau | 200000 | 169.64 | 1.179  | 1.0 | 1.0 | Undefined  | 1.0 | 1.179 | 
| 187157 | mc12_13TeV.187157.PowhegPythia8_AU2CT10_WpWm_mutau | 200000 | 169.64 | 1.179  | 1.0 | 1.0 | Undefined  | 1.0 | 1.179 | 
| 187158 | mc12_13TeV.187158.PowhegPythia8_AU2CT10_WpWm_tautau | 100000 | 84.8 | 1.1792  | 1.0 | 1.0 | Undefined  | 1.0 | 1.1792 | 
| 187160 | mc12_13TeV.187160.PowhegPythia8_AU2CT10_WmZ_3e_mll0p25_DiLeptonFilter | 200000 | 415.19 | 1.688  | 1.0 | 0.28537 | Undefined  | 1.0 | 0.48170456 | 
