| DSID |  Sample  | Total events | Sample Lumi [fb-1] | AMIXsec [pb] | BR  | FiltEff | Total higher order xsec [pb] | K-factor | Higher order xsec sample [pb] | 
| 302778 | mc15_13TeV.302778.Sherpa_CT10_VV_evvv_500MT1000 | 50000 | 35622.68 | 0.0014036  | 1.0 | 1.0 | Undefined  | 1.0 | 0.0014036 | 
| 302779 | mc15_13TeV.302779.Sherpa_CT10_VV_evvv_1000MT2000 | 50000 | 754819.52 | 6.6241e-05  | 1.0 | 1.0 | Undefined  | 1.0 | 6.6241e-05 | 
| 303014 | mc15_13TeV.303014.Sherpa_CT10_VV_evev_50M150 | 200000 | 241.56 | 0.82795  | 1.0 | 1.0 | Undefined  | 1.0 | 0.82795 | 
| 303015 | mc15_13TeV.303015.Sherpa_CT10_VV_evev_150M500 | 50000 | 215.36 | 0.23217  | 1.0 | 1.0 | Undefined  | 1.0 | 0.23217 | 
| 303016 | mc15_13TeV.303016.Sherpa_CT10_VV_evev_500M1000 | 50000 | 5319.55 | 0.0093993  | 1.0 | 1.0 | Undefined  | 1.0 | 0.0093993 | 
| 303017 | mc15_13TeV.303017.Sherpa_CT10_VV_evev_1000M2000 | 49000 | 41543.03 | 0.0011795  | 1.0 | 1.0 | Undefined  | 1.0 | 0.0011795 | 
| 303018 | mc15_13TeV.303018.Sherpa_CT10_VV_evev_2000M3000 | 50000 | 402771.06 | 0.00012414  | 1.0 | 1.0 | Undefined  | 1.0 | 0.00012414 | 
| 303019 | mc15_13TeV.303019.Sherpa_CT10_VV_evev_3000M4000 | 50000 | 1824884.12 | 2.7399e-05  | 1.0 | 1.0 | Undefined  | 1.0 | 2.7399e-05 | 
| 303020 | mc15_13TeV.303020.Sherpa_CT10_VV_evev_4000M5000 | 50000 | 7744493.67 | 6.4562e-06  | 1.0 | 1.0 | Undefined  | 1.0 | 6.456e-06 | 
| 303021 | mc15_13TeV.303021.Sherpa_CT10_VV_evev_5000M | 49000 | 35277177.83 | 1.389e-06  | 1.0 | 1.0 | Undefined  | 1.0 | 1.389e-06 | 
| 303022 | mc15_13TeV.303022.Sherpa_CT10_VV_llee_50M150 | 200000 | 139.39 | 1.4348  | 1.0 | 1.0 | Undefined  | 1.0 | 1.4348 | 
| 303023 | mc15_13TeV.303023.Sherpa_CT10_VV_llee_150M500 | 50000 | 2500.0 | 0.02  | 1.0 | 1.0 | Undefined  | 1.0 | 0.02 | 
| 303024 | mc15_13TeV.303024.Sherpa_CT10_VV_llee_500M1000 | 50000 | 65617.66 | 0.00076199  | 1.0 | 1.0 | Undefined  | 1.0 | 0.00076199 | 
| 303025 | mc15_13TeV.303025.Sherpa_CT10_VV_llee_1000M2000 | 50000 | 1015166.59 | 4.9253e-05  | 1.0 | 1.0 | Undefined  | 1.0 | 4.9253e-05 | 
| 303026 | mc15_13TeV.303026.Sherpa_CT10_VV_llee_2000M3000 | 50000 | 35724492.71 | 1.3996e-06  | 1.0 | 1.0 | Undefined  | 1.0 | 1.4e-06 | 
| 303027 | mc15_13TeV.303027.Sherpa_CT10_VV_llee_3000M4000 | 50000 | 606877131.66 | 8.2389e-08  | 1.0 | 1.0 | Undefined  | 1.0 | 8.2e-08 | 
| 303028 | mc15_13TeV.303028.Sherpa_CT10_VV_llee_4000M5000 | 46500 | 7373695728.01 | 6.3062e-09  | 1.0 | 1.0 | Undefined  | 1.0 | 6e-09 | 
| 303029 | mc15_13TeV.303029.Sherpa_CT10_VV_llee_5000M | 48000 | 88168843335.0 | 5.4441e-10  | 1.0 | 1.0 | Undefined  | 1.0 | 1e-09 | 
| 303030 | mc15_13TeV.303030.Sherpa_CT10_VV_lvee_50M150 | 200000 | 219.42 | 0.91148  | 1.0 | 1.0 | Undefined  | 1.0 | 0.91148 | 
| 303031 | mc15_13TeV.303031.Sherpa_CT10_VV_lvee_150M500 | 50000 | 0.0 | 257290.0  | 1.0 | 1.0 | Undefined  | 1.0 | 257290.0 | 
| 303032 | mc15_13TeV.303032.Sherpa_CT10_VV_lvee_500M1000 | 50000 | 8295.73 | 0.0060272  | 1.0 | 1.0 | Undefined  | 1.0 | 0.0060272 | 
| 303033 | mc15_13TeV.303033.Sherpa_CT10_VV_lvee_1000M2000 | 50000 | 0.0 | 35096.0  | 1.0 | 1.0 | Undefined  | 1.0 | 35096.0 | 
| 303034 | mc15_13TeV.303034.Sherpa_CT10_VV_lvee_2000M3000 | 49500 | 6499304.11 | 7.6162e-06  | 1.0 | 1.0 | Undefined  | 1.0 | 7.616e-06 | 
| 303035 | mc15_13TeV.303035.Sherpa_CT10_VV_lvee_3000M4000 | 48500 | 119240792.64 | 4.0674e-07  | 1.0 | 1.0 | Undefined  | 1.0 | 4.07e-07 | 
| 303036 | mc15_13TeV.303036.Sherpa_CT10_VV_lvee_4000M5000 | 48500 | 4986428.69 | 9.7264e-06  | 1.0 | 1.0 | Undefined  | 1.0 | 9.726e-06 | 
| 303037 | mc15_13TeV.303037.Sherpa_CT10_VV_lvee_5000M | 46000 | 19042099.6 | 2.4157e-06  | 1.0 | 1.0 | Undefined  | 1.0 | 2.416e-06 | 
| 303038 | mc15_13TeV.303038.Sherpa_CT10_VV_qqee_50M150 | 200000 | 35.07 | 5.7027  | 1.0 | 1.0 | Undefined  | 1.0 | 5.7027 | 
| 303039 | mc15_13TeV.303039.Sherpa_CT10_VV_qqee_150M500 | 50000 | 284.62 | 0.17567  | 1.0 | 1.0 | Undefined  | 1.0 | 0.17567 | 
| 303040 | mc15_13TeV.303040.Sherpa_CT10_VV_qqee_500M1000 | 50000 | 12269.94 | 0.004075  | 1.0 | 1.0 | Undefined  | 1.0 | 0.004075 | 
| 303041 | mc15_13TeV.303041.Sherpa_CT10_VV_qqee_1000M2000 | 50000 | 158297.98 | 0.00031586  | 1.0 | 1.0 | Undefined  | 1.0 | 0.00031586 | 
| 303042 | mc15_13TeV.303042.Sherpa_CT10_VV_qqee_2000M3000 | 50000 | 4980575.75 | 1.0039e-05  | 1.0 | 1.0 | Undefined  | 1.0 | 1.0039e-05 | 
| 303043 | mc15_13TeV.303043.Sherpa_CT10_VV_qqee_3000M4000 | 50000 | 75740362.04 | 6.6015e-07  | 1.0 | 1.0 | Undefined  | 1.0 | 6.6e-07 | 
| 303044 | mc15_13TeV.303044.Sherpa_CT10_VV_qqee_4000M5000 | 50000 | 935296208.31 | 5.3459e-08  | 1.0 | 1.0 | Undefined  | 1.0 | 5.3e-08 | 
| 303045 | mc15_13TeV.303045.Sherpa_CT10_VV_qqee_5000M | 49500 | 10212923991.1 | 4.8468e-09  | 1.0 | 1.0 | Undefined  | 1.0 | 5e-09 | 
| 303046 | mc15_13TeV.303046.Sherpa_CT10_VV_muvmuv_50M150 | 200000 | 240.96 | 0.83003  | 1.0 | 1.0 | Undefined  | 1.0 | 0.83003 | 
| 303047 | mc15_13TeV.303047.Sherpa_CT10_VV_muvmuv_150M500 | 50000 | 214.13 | 0.2335  | 1.0 | 1.0 | Undefined  | 1.0 | 0.2335 | 
| 303048 | mc15_13TeV.303048.Sherpa_CT10_VV_muvmuv_500M1000 | 50000 | 5102.09 | 0.0097999  | 1.0 | 1.0 | Undefined  | 1.0 | 0.0097999 | 
| 303049 | mc15_13TeV.303049.Sherpa_CT10_VV_muvmuv_1000M2000 | 50000 | 44895.39 | 0.0011137  | 1.0 | 1.0 | Undefined  | 1.0 | 0.0011137 | 
| 303050 | mc15_13TeV.303050.Sherpa_CT10_VV_muvmuv_2000M3000 | 50000 | 373134.33 | 0.000134  | 1.0 | 1.0 | Undefined  | 1.0 | 0.000134 | 
| 303051 | mc15_13TeV.303051.Sherpa_CT10_VV_muvmuv_3000M4000 | 50000 | 1824817.52 | 2.74e-05  | 1.0 | 1.0 | Undefined  | 1.0 | 2.74e-05 | 
| 303052 | mc15_13TeV.303052.Sherpa_CT10_VV_muvmuv_4000M5000 | 50000 | 7694438.46 | 6.4982e-06  | 1.0 | 1.0 | Undefined  | 1.0 | 6.498e-06 | 
| 303053 | mc15_13TeV.303053.Sherpa_CT10_VV_muvmuv_5000M | 50000 | 35760263.2 | 1.3982e-06  | 1.0 | 1.0 | Undefined  | 1.0 | 1.398e-06 | 
| 303054 | mc15_13TeV.303054.Sherpa_CT10_VV_llmumu_50M150 | 200000 | 163.09 | 1.2263  | 1.0 | 1.0 | Undefined  | 1.0 | 1.2263 | 
| 303055 | mc15_13TeV.303055.Sherpa_CT10_VV_llmumu_150M500 | 50000 | 2379.48 | 0.021013  | 1.0 | 1.0 | Undefined  | 1.0 | 0.021013 | 
| 303056 | mc15_13TeV.303056.Sherpa_CT10_VV_llmumu_500M1000 | 50000 | 68911.34 | 0.00072557  | 1.0 | 1.0 | Undefined  | 1.0 | 0.00072557 | 
| 303057 | mc15_13TeV.303057.Sherpa_CT10_VV_llmumu_1000M2000 | 50000 | 781909.74 | 6.3946e-05  | 1.0 | 1.0 | Undefined  | 1.0 | 6.3946e-05 | 
| 303058 | mc15_13TeV.303058.Sherpa_CT10_VV_llmumu_2000M3000 | 50000 | 31174013.34 | 1.6039e-06  | 1.0 | 1.0 | Undefined  | 1.0 | 1.604e-06 | 
| 303059 | mc15_13TeV.303059.Sherpa_CT10_VV_llmumu_3000M4000 | 50000 | 532011108.39 | 9.3983e-08  | 1.0 | 1.0 | Undefined  | 1.0 | 9.4e-08 | 
| 303060 | mc15_13TeV.303060.Sherpa_CT10_VV_llmumu_4000M5000 | 50000 | 6553767105.33 | 7.6292e-09  | 1.0 | 1.0 | Undefined  | 1.0 | 8e-09 | 
| 303061 | mc15_13TeV.303061.Sherpa_CT10_VV_llmumu_5000M | 48500 | 69528069270.0 | 6.9756e-10  | 1.0 | 1.0 | Undefined  | 1.0 | 1e-09 | 
| 303062 | mc15_13TeV.303062.Sherpa_CT10_VV_lvmumu_50M150 | 200000 | 218.74 | 0.91433  | 1.0 | 1.0 | Undefined  | 1.0 | 0.91433 | 
| 303063 | mc15_13TeV.303063.Sherpa_CT10_VV_lvmumu_150M500 | 50000 | 432.15 | 0.1157  | 1.0 | 1.0 | Undefined  | 1.0 | 0.1157 | 
| 303064 | mc15_13TeV.303064.Sherpa_CT10_VV_lvmumu_500M1000 | 50000 | 2.06 | 24.247  | 1.0 | 1.0 | Undefined  | 1.0 | 24.247 | 
| 303065 | mc15_13TeV.303065.Sherpa_CT10_VV_lvmumu_1000M2000 | 50000 | 122088.2 | 0.00040954  | 1.0 | 1.0 | Undefined  | 1.0 | 0.00040954 | 
| 303066 | mc15_13TeV.303066.Sherpa_CT10_VV_lvmumu_2000M3000 | 50000 | 6317518.48 | 7.9145e-06  | 1.0 | 1.0 | Undefined  | 1.0 | 7.915e-06 | 
| 303067 | mc15_13TeV.303067.Sherpa_CT10_VV_lvmumu_3000M4000 | 49500 | 7172042.08 | 6.9018e-06  | 1.0 | 1.0 | Undefined  | 1.0 | 6.902e-06 | 
| 303068 | mc15_13TeV.303068.Sherpa_CT10_VV_lvmumu_4000M5000 | 49500 | 1182626.15 | 4.1856e-05  | 1.0 | 1.0 | Undefined  | 1.0 | 4.1856e-05 | 
| 303069 | mc15_13TeV.303069.Sherpa_CT10_VV_lvmumu_5000M | 47500 | 547405.3 | 8.6773e-05  | 1.0 | 1.0 | Undefined  | 1.0 | 8.6773e-05 | 
| 303070 | mc15_13TeV.303070.Sherpa_CT10_VV_qqmumu_50M150 | 200000 | 35.06 | 5.7042  | 1.0 | 1.0 | Undefined  | 1.0 | 5.7042 | 
| 303071 | mc15_13TeV.303071.Sherpa_CT10_VV_qqmumu_150M500 | 50000 | 287.17 | 0.17411  | 1.0 | 1.0 | Undefined  | 1.0 | 0.17411 | 
| 303072 | mc15_13TeV.303072.Sherpa_CT10_VV_qqmumu_500M1000 | 50000 | 12341.41 | 0.0040514  | 1.0 | 1.0 | Undefined  | 1.0 | 0.0040514 | 
| 303073 | mc15_13TeV.303073.Sherpa_CT10_VV_qqmumu_1000M2000 | 50000 | 160761.37 | 0.00031102  | 1.0 | 1.0 | Undefined  | 1.0 | 0.00031102 | 
| 303074 | mc15_13TeV.303074.Sherpa_CT10_VV_qqmumu_2000M3000 | 50000 | 4957366.65 | 1.0086e-05  | 1.0 | 1.0 | Undefined  | 1.0 | 1.0086e-05 | 
| 303075 | mc15_13TeV.303075.Sherpa_CT10_VV_qqmumu_3000M4000 | 50000 | 75520715.33 | 6.6207e-07  | 1.0 | 1.0 | Undefined  | 1.0 | 6.62e-07 | 
| 303076 | mc15_13TeV.303076.Sherpa_CT10_VV_qqmumu_4000M5000 | 50000 | 918729213.75 | 5.4423e-08  | 1.0 | 1.0 | Undefined  | 1.0 | 5.4e-08 | 
| 303077 | mc15_13TeV.303077.Sherpa_CT10_VV_qqmumu_5000M | 50000 | 10360761723.2 | 4.8259e-09  | 1.0 | 1.0 | Undefined  | 1.0 | 5e-09 | 
| 303488 | mc15_13TeV.303488.Sherpa_CT10_VV_evmuv_0M150 | 249000 | 136.28 | 1.8271  | 1.0 | 1.0 | Undefined  | 1.0 | 1.8271 | 
| 303489 | mc15_13TeV.303489.Sherpa_CT10_VV_evmuv_150M500 | 150000 | 330.08 | 0.45444  | 1.0 | 1.0 | Undefined  | 1.0 | 0.45444 | 
| 303490 | mc15_13TeV.303490.Sherpa_CT10_VV_evmuv_500M1000 | 150000 | 9516.56 | 0.015762  | 1.0 | 1.0 | Undefined  | 1.0 | 0.015762 | 
| 303491 | mc15_13TeV.303491.Sherpa_CT10_VV_evmuv_1000M2000 | 150000 | 139860.14 | 0.0010725  | 1.0 | 1.0 | Undefined  | 1.0 | 0.0010725 | 
| 303492 | mc15_13TeV.303492.Sherpa_CT10_VV_evmuv_2000M3000 | 150000 | 5528119.7 | 2.7134e-05  | 1.0 | 1.0 | Undefined  | 1.0 | 2.7134e-05 | 
| 303493 | mc15_13TeV.303493.Sherpa_CT10_VV_evmuv_3000M4000 | 150000 | 110513519.49 | 1.3573e-06  | 1.0 | 1.0 | Undefined  | 1.0 | 1.357e-06 | 
| 303494 | mc15_13TeV.303494.Sherpa_CT10_VV_evmuv_4000M5000 | 150000 | 1799964000.72 | 8.3335e-08  | 1.0 | 1.0 | Undefined  | 1.0 | 8.3e-08 | 
| 303752 | mc15_13TeV.303752.Sherpa_CT10_VV_evll_50MT150 | 400000 | 712.92 | 0.56107  | 1.0 | 1.0 | Undefined  | 1.0 | 0.56107 | 
| 303753 | mc15_13TeV.303753.Sherpa_CT10_VV_evll_150MT500 | 100000 | 4672.46 | 0.021402  | 1.0 | 1.0 | Undefined  | 1.0 | 0.021402 | 
| 303754 | mc15_13TeV.303754.Sherpa_CT10_VV_evll_500MT1000 | 100000 | 292722.91 | 0.00034162  | 1.0 | 1.0 | Undefined  | 1.0 | 0.00034162 | 
| 303755 | mc15_13TeV.303755.Sherpa_CT10_VV_evll_1000MT2000 | 100000 | 5682141.03 | 1.7599e-05  | 1.0 | 1.0 | Undefined  | 1.0 | 1.7599e-05 | 
| 303756 | mc15_13TeV.303756.Sherpa_CT10_VV_evll_2000MT3000 | 100000 | 259074069.28 | 3.8599e-07  | 1.0 | 1.0 | Undefined  | 1.0 | 3.86e-07 | 
| 303757 | mc15_13TeV.303757.Sherpa_CT10_VV_evll_3000MT4000 | 100000 | 5225752508.36 | 1.9136e-08  | 1.0 | 1.0 | Undefined  | 1.0 | 1.9e-08 | 
| 303758 | mc15_13TeV.303758.Sherpa_CT10_VV_evll_4000MT5000 | 100000 | 84409555161.6 | 1.1847e-09  | 1.0 | 1.0 | Undefined  | 1.0 | 1e-09 | 
| 303759 | mc15_13TeV.303759.Sherpa_CT10_VV_evll_5000MT | 100000 | 1.23904989654e+12 | 8.0707e-11  | 1.0 | 1.0 | Undefined  | 1.0 | 0.0 | 
| 303760 | mc15_13TeV.303760.Sherpa_CT10_VV_evlv_50MT150 | 200000 | 52.46 | 3.8126  | 1.0 | 1.0 | Undefined  | 1.0 | 3.8126 | 
| 303761 | mc15_13TeV.303761.Sherpa_CT10_VV_evlv_150MT500 | 50000 | 157.15 | 0.31817  | 1.0 | 1.0 | Undefined  | 1.0 | 0.31817 | 
| 303762 | mc15_13TeV.303762.Sherpa_CT10_VV_evlv_500MT1000 | 50000 | 13311.33 | 0.0037562  | 1.0 | 1.0 | Undefined  | 1.0 | 0.0037562 | 
| 303763 | mc15_13TeV.303763.Sherpa_CT10_VV_evlv_1000MT2000 | 50000 | 279876.85 | 0.00017865  | 1.0 | 1.0 | Undefined  | 1.0 | 0.00017865 | 
| 303764 | mc15_13TeV.303764.Sherpa_CT10_VV_evlv_2000MT3000 | 50000 | 13041210.22 | 3.834e-06  | 1.0 | 1.0 | Undefined  | 1.0 | 3.834e-06 | 
| 303765 | mc15_13TeV.303765.Sherpa_CT10_VV_evlv_3000MT4000 | 50000 | 244654303.47 | 2.0437e-07  | 1.0 | 1.0 | Undefined  | 1.0 | 2.04e-07 | 
| 303766 | mc15_13TeV.303766.Sherpa_CT10_VV_evlv_4000MT5000 | 50000 | 3360440889.84 | 1.4879e-08  | 1.0 | 1.0 | Undefined  | 1.0 | 1.5e-08 | 
| 303767 | mc15_13TeV.303767.Sherpa_CT10_VV_evlv_5000MT | 50000 | 39391790750.8 | 1.2693e-09  | 1.0 | 1.0 | Undefined  | 1.0 | 1e-09 | 
| 303768 | mc15_13TeV.303768.Sherpa_CT10_VV_evqq_50MT150 | 300000 | 14.03 | 21.379  | 1.0 | 1.0 | Undefined  | 1.0 | 21.379 | 
| 303769 | mc15_13TeV.303769.Sherpa_CT10_VV_evqq_150MT500 | 50000 | 1043.69 | 0.047907  | 1.0 | 1.0 | Undefined  | 1.0 | 0.047907 | 
| 303770 | mc15_13TeV.303770.Sherpa_CT10_VV_evqq_500MT1000 | 50000 | 32664.79 | 0.0015307  | 1.0 | 1.0 | Undefined  | 1.0 | 0.0015307 | 
| 303771 | mc15_13TeV.303771.Sherpa_CT10_VV_evqq_1000MT2000 | 50000 | 351370.34 | 0.0001423  | 1.0 | 1.0 | Undefined  | 1.0 | 0.0001423 | 
| 303772 | mc15_13TeV.303772.Sherpa_CT10_VV_evqq_2000MT3000 | 50000 | 10106114.2 | 4.9475e-06  | 1.0 | 1.0 | Undefined  | 1.0 | 4.948e-06 | 
| 303773 | mc15_13TeV.303773.Sherpa_CT10_VV_evqq_3000MT4000 | 50000 | 158022818.49 | 3.1641e-07  | 1.0 | 1.0 | Undefined  | 1.0 | 3.16e-07 | 
| 303774 | mc15_13TeV.303774.Sherpa_CT10_VV_evqq_4000MT5000 | 50000 | 2068252326.78 | 2.4175e-08  | 1.0 | 1.0 | Undefined  | 1.0 | 2.4e-08 | 
| 303775 | mc15_13TeV.303775.Sherpa_CT10_VV_evqq_5000MT | 50000 | 24810201955.0 | 2.0153e-09  | 1.0 | 1.0 | Undefined  | 1.0 | 2e-09 | 
| 303776 | mc15_13TeV.303776.Sherpa_CT10_VV_evvv_50MT150 | 200000 | 352.34 | 0.56764  | 1.0 | 1.0 | Undefined  | 1.0 | 0.56764 | 
| 303777 | mc15_13TeV.303777.Sherpa_CT10_VV_evvv_150MT500 | 50000 | 510.46 | 0.09795  | 1.0 | 1.0 | Undefined  | 1.0 | 0.09795 | 
| 303780 | mc15_13TeV.303780.Sherpa_CT10_VV_evvv_2000MT3000 | 50000 | 36221385.11 | 1.3804e-06  | 1.0 | 1.0 | Undefined  | 1.0 | 1.38e-06 | 
| 303781 | mc15_13TeV.303781.Sherpa_CT10_VV_evvv_3000MT4000 | 50000 | 693183236.06 | 7.2131e-08  | 1.0 | 1.0 | Undefined  | 1.0 | 7.2e-08 | 
| 303782 | mc15_13TeV.303782.Sherpa_CT10_VV_evvv_4000MT5000 | 50000 | 10227877101.8 | 4.8886e-09  | 1.0 | 1.0 | Undefined  | 1.0 | 5e-09 | 
| 303783 | mc15_13TeV.303783.Sherpa_CT10_VV_evvv_5000MT | 50000 | 132517028438.0 | 3.7731e-10  | 1.0 | 1.0 | Undefined  | 1.0 | 0.0 | 
