| DSID |  Sample  | Total events | Sample Lumi [fb-1] | AMIXsec [pb] | BR  | FiltEff | Total higher order xsec [pb] | K-factor | Higher order xsec sample [pb] | 
| 303495 | mc15_13TeV.303495.Sherpa_CT10_VV_evmuv_M5000 | 150000 | 26290882322.0 | 5.7054e-09  | 1.0 | 1.0 | Undefined  | 1.0 | 6e-09 | 
| 304940 | mc15_13TeV.304940.Sherpa_CT10_VV_evtauv_M5000 | 150000 | 26291803968.3 | 5.7052e-09  | 1.0 | 1.0 | Undefined  | 1.0 | 6e-09 | 
| 304948 | mc15_13TeV.304948.Sherpa_CT10_VV_muvtauv_M5000 | 150000 | 26287196382.9 | 5.7062e-09  | 1.0 | 1.0 | Undefined  | 1.0 | 6e-09 | 
| 304956 | mc15_13TeV.304956.Sherpa_CT10_VV_tauvtauv_M5000 | 150000 | 50369375419.7 | 2.978e-09  | 1.0 | 1.0 | Undefined  | 1.0 | 3e-09 | 
| 305435 | mc15_13TeV.305435.Sherpa_CT10_WqqGammaPt140_280 | 200000 | 120.44 | 1.6606  | 1.0 | 1.0 | Undefined  | 1.0 | 1.6606 | 
| 305436 | mc15_13TeV.305436.Sherpa_CT10_WqqGammaPt280_500 | 100000 | 411.34 | 0.24311  | 1.0 | 1.0 | Undefined  | 1.0 | 0.24311 | 
| 305437 | mc15_13TeV.305437.Sherpa_CT10_WqqGammaPt500_1000 | 100000 | 2638.73 | 0.037897  | 1.0 | 1.0 | Undefined  | 1.0 | 0.037897 | 
| 305438 | mc15_13TeV.305438.Sherpa_CT10_WqqGammaPt1000_2000 | 80000 | 44062.57 | 0.0018156  | 1.0 | 1.0 | Undefined  | 1.0 | 0.0018156 | 
| 305439 | mc15_13TeV.305439.Sherpa_CT10_WqqGammaPt2000_inf | 10000 | 589344.65 | 1.6968e-05  | 1.0 | 1.0 | Undefined  | 1.0 | 1.6968e-05 | 
| 305440 | mc15_13TeV.305440.Sherpa_CT10_ZqqGammaPt140_280 | 200000 | 304.15 | 0.65757  | 1.0 | 1.0 | Undefined  | 1.0 | 0.65757 | 
