| DSID |  Sample  | Total events | Sample Lumi [fb-1] | AMIXsec [pb] | BR  | FiltEff | Total higher order xsec [pb] | K-factor | Higher order xsec sample [pb] | 
| 301399 | mc15_13TeV.301399.PowhegPythia8EvtGen_CT10_AZNLOCTEQ6L1_VBFH125_ZZ4nu | 100000 | 26.11 | 3.8306  | 1.0 | 1.0 | Undefined  | 1.0 | 3.8306 | 
| 341001 | mc15_13TeV.341001.PowhegPythia8EvtGen_CT10_AZNLOCTEQ6L1_VBFH125_gamgam | 1100000 | 287.42 | 3.8272  | 0.00228 | 1.0 | 3.748  | 0.9793 | 0.00854544 | 
| 341080 | mc15_13TeV.341080.PowhegPythia8EvtGen_CT10_AZNLOCTEQ6L1_VBFH125_WWlvlv_EF_15_5 | 250000 | 128.03 | 3.827  | 0.022654 | 0.51025 | 3.748  | 0.9794 | 0.043322956 | 
| 341155 | mc15_13TeV.341155.PowhegPythia8EvtGen_CT10_AZNLOCTEQ6L1_VBFH125_tautaull | 2100000 | 4469.1 | 3.8293  | 0.0632 | 0.12271 | 3.748  | 0.9788 | 0.029066759 | 
| 341156 | mc15_13TeV.341156.PowhegPythia8EvtGen_CT10_AZNLOCTEQ6L1_VBFH125_tautaulh | 2100000 | 1204.25 | 3.8293  | 0.0632 | 0.45539 | 3.748  | 0.9788 | 0.107869869 | 
| 341157 | mc15_13TeV.341157.PowhegPythia8EvtGen_CT10_AZNLOCTEQ6L1_VBFH125_tautauhh | 2095000 | 1296.72 | 3.8293  | 0.0632 | 0.42191 | 3.748  | 0.9788 | 0.099939341 | 
| 341206 | mc15_13TeV.341206.PowhegPythia8EvtGen_CT10_AZNLOCTEQ6L1_VBFH125_mumu | 1000000 | 256.89 | 3.8927  | 0.000219 | 1.0 | 3.748  | 0.9628 | 0.000820812 | 
| 341254 | mc15_13TeV.341254.PowhegPythia8EvtGen_CT10_AZNLOCTEQ6L1_VBFH125_tautauIncl | 35000 | 21.92 | 3.8283  | 0.0632 | 0.41699 | 3.748  | 0.979 | 0.098773922 | 
| 341446 | mc15_13TeV.341446.PowhegPythia8EvtGen_CT10_AZNLOCTEQ6L1_VBFH125_Zllgam | 100000 | 167871.55 | 3.8306  | 1.0 | 0.000156 | 3.748  | 0.9784 | 0.000582848 | 
| 341488 | mc15_13TeV.341488.PowhegPythia8EvtGen_CT10_AZNLOCTEQ6L1_VBFH125_ZZ4lep | 200000 | 193984.89 | 3.8299  | 1.0 | 0.000269 | 3.748  | 0.9786 | 0.001008961 | 
| 341518 | mc15_13TeV.341518.PowhegPythia8EvtGen_CT10_AZNLOCTEQ6L1_VBFH125_ZZ4lep_noTau | 600000 | 1308953.7 | 3.8312  | 1.0 | 0.00012 | 3.748  | 0.9783 | 0.000448427 | 
| 341566 | mc15_13TeV.341566.PowhegPythia8EvtGen_CT10_AZNLOCTEQ6L1_VBFH125_bb | 1500000 | 678.8 | 3.8298  | 1.0 | 0.577 | 3.748  | 0.9786 | 2.162596 | 
| 341908 | mc15_13TeV.341908.PowhegPythia8EvtGen_CT10_AZNLOCTEQ6L1_VBFH125_tautaulh_CPodd | 500000 | 287.31 | 3.8282  | 1.0 | 0.4546 | Undefined  | 1.0 | 1.74029972 | 
| 341909 | mc15_13TeV.341909.PowhegPythia8EvtGen_CT10_AZNLOCTEQ6L1_VBFH125_tautaulh_mix50 | 250000 | 143.73 | 3.8285  | 1.0 | 0.45431 | Undefined  | 1.0 | 1.739325835 | 
| 341910 | mc15_13TeV.341910.PowhegPythia8EvtGen_CT10_AZNLOCTEQ6L1_VBFH125_tautaulh_unpol | 1000000 | 573.24 | 3.8307  | 1.0 | 0.45539 | Undefined  | 1.0 | 1.744462473 | 
| 341911 | mc15_13TeV.341911.PowhegPythia8EvtGen_CT10_AZNLOCTEQ6L1_VBFH125_tautauhh_CPodd | 500000 | 309.31 | 3.8281  | 1.0 | 0.42227 | Undefined  | 1.0 | 1.616491787 | 
| 341912 | mc15_13TeV.341912.PowhegPythia8EvtGen_CT10_AZNLOCTEQ6L1_VBFH125_tautauhh_mix50 | 250000 | 154.67 | 3.8285  | 1.0 | 0.42219 | Undefined  | 1.0 | 1.616354415 | 
| 341913 | mc15_13TeV.341913.PowhegPythia8EvtGen_CT10_AZNLOCTEQ6L1_VBFH125_tautauhh_unpol | 980000 | 605.98 | 3.8308  | 1.0 | 0.42216 | Undefined  | 1.0 | 1.617210528 | 
| 342189 | mc15_13TeV.342189.PowhegPythia8EvtGen_CT10_AZNLOCTEQ6L1_VBFH125_ee | 100000 | 26.1 | 3.8318  | 1.0 | 1.0 | Undefined  | 1.0 | 3.8318 | 
| 342283 | mc15_13TeV.342283.PowhegPythia8EvtGen_CT10_AZNLOCTEQ6L1_VBFH125_inc | 300000 | 78.37 | 3.828  | 1.0 | 1.0 | Undefined  | 1.0 | 3.828 | 
| 343634 | mc15_13TeV.343634.PowhegPythia8EvtGen_CT10_AZNLOCTEQ6L1_VBFH125_PhiGamma | 100000 | 26.18 | 3.8194  | 1.0 | 1.0 | Undefined  | 1.0 | 3.8194 | 
| 344085 | mc15_13TeV.344085.PowhegPythia8EvtGen_CT10_AZNLOCTEQ6L1_VBFH125_taumu | 245000 | 64.2 | 3.8162  | 1.0 | 1.0 | Undefined  | 1.0 | 3.8162 | 
| 344089 | mc15_13TeV.344089.PowhegPythia8EvtGen_CT10_AZNLOCTEQ6L1_VBFH125_taue | 250000 | 65.52 | 3.8155  | 1.0 | 1.0 | Undefined  | 1.0 | 3.8155 | 
| 344093 | mc15_13TeV.344093.PowhegPythia8EvtGen_CT10_AZNLOCTEQ6L1_VBFH125_mue | 250000 | 65.52 | 3.8155  | 1.0 | 1.0 | Undefined  | 1.0 | 3.8155 | 
