| DSID |  Sample  | Total events | Sample Lumi [fb-1] | AMIXsec [pb] | BR  | FiltEff | Total higher order xsec [pb] | K-factor | Higher order xsec sample [pb] | 
| 341000 | mc15_13TeV.341000.PowhegPythia8EvtGen_CT10_AZNLOCTEQ6L1_ggH125_gamgam | 2050000 | 67.92 | 30.182  | 0.00228 | 1.0 | 43.92  | 1.4552 | 0.1001376 | 
| 341079 | mc15_13TeV.341079.PowhegPythia8EvtGen_CT10_AZNLOCTEQ6L1_ggH125_WWlvlv_EF_15_5 | 480000 | 32.36 | 30.183  | 0.022654 | 0.4915 | 43.92  | 1.4551 | 0.489014058 | 
| 341122 | mc15_13TeV.341122.PowhegPythia8EvtGen_CT10_AZNLOCTEQ6L1_ggH125_tautaull | 1525000 | 411.42 | 30.192  | 0.0632 | 0.12277 | 43.92  | 1.4547 | 0.340778091 | 
| 341123 | mc15_13TeV.341123.PowhegPythia8EvtGen_CT10_AZNLOCTEQ6L1_ggH125_tautaulh | 1545000 | 112.51 | 30.193  | 0.0632 | 0.4548 | 43.92  | 1.4546 | 1.262408371 | 
| 341124 | mc15_13TeV.341124.PowhegPythia8EvtGen_CT10_AZNLOCTEQ6L1_ggH125_tautauhh | 1545000 | 121.28 | 30.193  | 0.0632 | 0.42194 | 43.92  | 1.4546 | 1.171197423 | 
| 341195 | mc15_13TeV.341195.PowhegPythia8EvtGen_CT10_AZNLOCTEQ6L1_ggH125_mumu | 960000 | 31.8 | 30.193  | 0.000219 | 1.0 | 43.92  | 1.4546 | 0.00961848 | 
| 341225 | mc15_13TeV.341225.PowhegPythia8EvtGen_CT10_AZNLOCTEQ6L1_ggH125_tautauIncl | 35000 | 2.94 | 30.193  | 0.0632 | 0.39394 | 43.92  | 1.4546 | 1.093476591 | 
| 341272 | mc15_13TeV.341272.PowhegPythia8EvtGen_CT10_AZNLOCTEQ6L1_ggH125_JpsiGamma | 50000 | 1.66 | 30.16  | 1.0 | 1.0 | Undefined  | 1.0 | 30.16 | 
| 341273 | mc15_13TeV.341273.PowhegPythia8EvtGen_CT10_AZNLOCTEQ6L1_ggH125_PhiGamma | 95000 | 3.15 | 30.198  | 1.0 | 1.0 | Undefined  | 1.0 | 30.198 | 
| 341445 | mc15_13TeV.341445.PowhegPythia8EvtGen_CT10_AZNLOCTEQ6L1_ggH125_Zllgam | 95000 | 20237.07 | 30.187  | 1.0 | 0.000156 | 43.92  | 1.4549 | 0.006829964 | 
| 341471 | mc15_13TeV.341471.PowhegPythia8EvtGen_CT10_AZNLOCTEQ6L1_ggH125_ZZ4lep | 290000 | 35685.27 | 30.188  | 1.0 | 0.000269 | 43.92  | 1.4549 | 0.011823253 | 
| 341505 | mc15_13TeV.341505.PowhegPythia8EvtGen_CT10_AZNLOCTEQ6L1_ggH125_ZZ4lep_noTau | 1470000 | 406969.7 | 30.19  | 1.0 | 0.00012 | 43.92  | 1.4548 | 0.005254779 | 
| 341560 | mc15_13TeV.341560.PowhegPythia8EvtGen_CT10_AZNLOCTEQ6L1_ggH125_gamgamD | 45000 | 1.49 | 30.199  | 1.0 | 1.0 | Undefined  | 1.0 | 30.199 | 
| 341564 | mc15_13TeV.341564.PowhegPythia8EvtGen_CT10_AZNLOCTEQ6L1_ggH125_bb | 95000 | 5.45 | 30.198  | 1.0 | 0.577 | 43.92  | 1.4544 | 25.34184 | 
| 341565 | mc15_13TeV.341565.PowhegPythia8EvtGen_CT10_AZNLOCTEQ6L1_ggH125_bb_EF4jets | 975000 | 161.58 | 30.191  | 0.577 | 0.19987 | 43.92  | 1.4547 | 5.065073561 | 
| 341902 | mc15_13TeV.341902.PowhegPythia8EvtGen_CT10_AZNLOCTEQ6L1_ggH125_tautaulh_CPodd | 480000 | 35.0 | 30.191  | 1.0 | 0.45431 | Undefined  | 1.0 | 13.71607321 | 
| 341903 | mc15_13TeV.341903.PowhegPythia8EvtGen_CT10_AZNLOCTEQ6L1_ggH125_tautaulh_mix50 | 245000 | 17.81 | 30.193  | 1.0 | 0.45574 | Undefined  | 1.0 | 13.76015782 | 
| 341904 | mc15_13TeV.341904.PowhegPythia8EvtGen_CT10_AZNLOCTEQ6L1_ggH125_tautaulh_unpol | 975000 | 70.95 | 30.19  | 1.0 | 0.45516 | Undefined  | 1.0 | 13.7412804 | 
| 341905 | mc15_13TeV.341905.PowhegPythia8EvtGen_CT10_AZNLOCTEQ6L1_ggH125_tautauhh_CPodd | 480000 | 37.72 | 30.19  | 1.0 | 0.42148 | Undefined  | 1.0 | 12.7244812 | 
| 341906 | mc15_13TeV.341906.PowhegPythia8EvtGen_CT10_AZNLOCTEQ6L1_ggH125_tautauhh_mix50 | 245000 | 19.22 | 30.192  | 1.0 | 0.42214 | Undefined  | 1.0 | 12.74525088 | 
| 341907 | mc15_13TeV.341907.PowhegPythia8EvtGen_CT10_AZNLOCTEQ6L1_ggH125_tautauhh_unpol | 975000 | 76.56 | 30.191  | 1.0 | 0.42182 | Undefined  | 1.0 | 12.73516762 | 
| 342178 | mc15_13TeV.342178.PowhegPythia8EvtGen_CT10_AZNLOCTEQ6L1_ggH125_ee | 95000 | 3.15 | 30.198  | 1.0 | 1.0 | Undefined  | 1.0 | 30.198 | 
| 342282 | mc15_13TeV.342282.PowhegPythia8EvtGen_CT10_AZNLOCTEQ6L1_ggH125_inc | 2000000 | 66.23 | 30.196  | 1.0 | 1.0 | Undefined  | 1.0 | 30.196 | 
| 342300 | mc15_13TeV.342300.PowhegPythia8EvtGen_CT10_AZNLOCTEQ6L1_ggH125W02_tautaulh | 50000 | 3.63 | 30.217  | 1.0 | 0.45599 | Undefined  | 1.0 | 13.77864983 | 
| 342301 | mc15_13TeV.342301.PowhegPythia8EvtGen_CT10_AZNLOCTEQ6L1_ggH125W02_tautauhh | 50000 | 3.91 | 30.215  | 1.0 | 0.42307 | Undefined  | 1.0 | 12.78306005 | 
| 342302 | mc15_13TeV.342302.PowhegPythia8EvtGen_CT10_AZNLOCTEQ6L1_ggH125W02_tautaull | 50000 | 13.54 | 30.195  | 1.0 | 0.1223 | Undefined  | 1.0 | 3.6928485 | 
| 342560 | mc15_13TeV.342560.PowhegPythia8EvtGen_CT10_AZNLOCTEQ6L1_MPIOFF_ggH125_gamgam | 480000 | 15.9 | 30.188  | 1.0 | 1.0 | Undefined  | 1.0 | 30.188 | 
| 343233 | mc15_13TeV.343233.Powheggg2vvPythia8EvtGen_ggH125p5_gg_ZZ_2l2v_13TeV | 500000 | 21825.9 | 0.03458  | 1.0 | 0.66248 | Undefined  | 1.0 | 0.022908558 | 
| 343393 | mc15_13TeV.343393.PowhegPy8EG_CT10_AZNLOCTEQ6L1_ggH125_WWlvlv_EF_15_5_highMjj | 200000 | 11817.39 | 30.197  | 1.0 | 0.00056 | Undefined  | 1.0 | 0.016924211 | 
| 344084 | mc15_13TeV.344084.PowhegPythia8EvtGen_CT10_AZNLOCTEQ6L1_ggH125_taumu | 500000 | 16.56 | 30.189  | 1.0 | 1.0 | Undefined  | 1.0 | 30.189 | 
| 344088 | mc15_13TeV.344088.PowhegPythia8EvtGen_CT10_AZNLOCTEQ6L1_ggH125_taue | 500000 | 16.56 | 30.189  | 1.0 | 1.0 | Undefined  | 1.0 | 30.189 | 
| 344092 | mc15_13TeV.344092.PowhegPythia8EvtGen_CT10_AZNLOCTEQ6L1_ggH125_mue | 500000 | 16.56 | 30.189  | 1.0 | 1.0 | Undefined  | 1.0 | 30.189 | 
