| DSID |  Sample  | Total events | Sample Lumi [fb-1] | AMIXsec [pb] | BR  | FiltEff | Total higher order xsec [pb] | K-factor | Higher order xsec sample [pb] | 
| 407018 | mc15_13TeV.407018.PowhegPythiaEvtGen_P2012CT10_Wt_inclusive_top_HT500 | 2500000 | 830.96 | 34.01  | 1.0 | 0.088461 | 71.7  | 1.054 | 3.171028482 | 
| 407019 | mc15_13TeV.407019.PowhegPythiaEvtGen_P2012CT10_Wt_inclusive_top_MET200 | 500000 | 1303.0 | 34.011  | 1.0 | 0.011282 | 71.7  | 1.054 | 0.404449798 | 
| 407020 | mc15_13TeV.407020.PowhegPythiaEvtGen_P2012CT10_Wt_inclusive_tbar_HT500 | 2500000 | 831.88 | 33.99  | 1.0 | 0.088415 | 71.7  | 1.054 | 3.167516751 | 
| 407021 | mc15_13TeV.407021.PowhegPythiaEvtGen_P2012CT10_Wt_inclusive_tbar_MET200 | 500000 | 1306.44 | 33.992  | 1.0 | 0.011259 | 71.7  | 1.054 | 0.403385204 | 
| 407049 | mc15_13TeV.407049.PowhegPythiaEvtGen_P2012CT10_Wt_DS_inclusive_top_HT500 | 2495000 | 1276.73 | 32.406  | 1.0 | 0.060304 | Undefined  | 1.0 | 1.954211424 | 
| 407050 | mc15_13TeV.407050.PowhegPythiaEvtGen_P2012CT10radHi_Wt_inclusive_top_HT500 | 2500000 | 789.86 | 34.916  | 1.0 | 0.090649 | Undefined  | 1.0 | 3.165100484 | 
| 407051 | mc15_13TeV.407051.PowhegPythiaEvtGen_P2012CT10radLo_Wt_inclusive_top_HT500 | 2500000 | 871.35 | 33.41  | 1.0 | 0.085876 | Undefined  | 1.0 | 2.86911716 | 
| 407052 | mc15_13TeV.407052.PowhegPythiaEvtGen_P2012CT10_Wt_DS_inclusive_top_MET200 | 498000 | 2162.39 | 32.408  | 1.0 | 0.007106 | Undefined  | 1.0 | 0.23030097 | 
| 407053 | mc15_13TeV.407053.PowhegPythiaEvtGen_P2012CT10radHi_Wt_inclusive_top_MET200 | 500000 | 1207.73 | 34.916  | 1.0 | 0.011857 | Undefined  | 1.0 | 0.413999012 | 
| 407054 | mc15_13TeV.407054.PowhegPythiaEvtGen_P2012CT10radLo_Wt_inclusive_top_MET200 | 500000 | 1395.65 | 33.41  | 1.0 | 0.010723 | Undefined  | 1.0 | 0.35825543 | 
| 407055 | mc15_13TeV.407055.PowhegPythiaEvtGen_P2012CT10_Wt_DS_inclusive_tbar_HT500 | 2410000 | 1238.81 | 32.381  | 1.0 | 0.060079 | Undefined  | 1.0 | 1.945418099 | 
| 407056 | mc15_13TeV.407056.PowhegPythiaEvtGen_P2012CT10radHi_Wt_inclusive_tbar_HT500 | 2500000 | 791.25 | 34.895  | 1.0 | 0.090545 | Undefined  | 1.0 | 3.159567775 | 
| 407057 | mc15_13TeV.407057.PowhegPythiaEvtGen_P2012CT10radLo_Wt_inclusive_tbar_HT500 | 2500000 | 872.38 | 33.391  | 1.0 | 0.085823 | Undefined  | 1.0 | 2.865715793 | 
| 407058 | mc15_13TeV.407058.PowhegPythiaEvtGen_P2012CT10_Wt_DS_inclusive_tbar_MET200 | 500000 | 2192.77 | 32.396  | 1.0 | 0.007039 | Undefined  | 1.0 | 0.228022486 | 
| 407059 | mc15_13TeV.407059.PowhegPythiaEvtGen_P2012CT10radHi_Wt_inclusive_tbar_MET200 | 500000 | 1215.64 | 34.895  | 1.0 | 0.011787 | Undefined  | 1.0 | 0.411307365 | 
| 407060 | mc15_13TeV.407060.PowhegPythiaEvtGen_P2012CT10radLo_Wt_inclusive_tbar_MET200 | 495000 | 1387.49 | 33.392  | 1.0 | 0.010684 | Undefined  | 1.0 | 0.356760128 | 
| 407061 | mc15_13TeV.407061.PowhegHerwigppEvtGen_UEEE5_Wt_inclusive_top_HT500 | 2455000 | 893.41 | 34.078  | 1.0 | 0.080636 | Undefined  | 1.0 | 2.747913608 | 
| 407062 | mc15_13TeV.407062.PowhegHerwigppEvtGen_UEEE5_Wt_inclusive_top_MET200 | 500000 | 1440.91 | 34.08  | 1.0 | 0.010182 | Undefined  | 1.0 | 0.34700256 | 
| 407063 | mc15_13TeV.407063.PowhegHerwigppEvtGen_UEEE5_Wt_inclusive_tbar_HT500 | 2455000 | 888.33 | 34.062  | 1.0 | 0.081135 | Undefined  | 1.0 | 2.76362037 | 
| 407064 | mc15_13TeV.407064.PowhegHerwigppEvtGen_UEEE5_Wt_inclusive_tbar_MET200 | 500000 | 1436.79 | 34.064  | 1.0 | 0.010216 | Undefined  | 1.0 | 0.347997824 | 
| 410011 | mc15_13TeV.410011.PowhegPythiaEvtGen_P2012_singletop_tchan_lept_top | 5000000 | 114.31 | 43.739  | 0.3246 | 1.0 | 136.02  | 1.0094 | 14.331769063 | 
| 410012 | mc15_13TeV.410012.PowhegPythiaEvtGen_P2012_singletop_tchan_lept_antitop | 5000000 | 193.96 | 25.778  | 0.3246 | 1.0 | 80.95  | 1.0193 | 8.529309702 | 
| 410013 | mc15_13TeV.410013.PowhegPythiaEvtGen_P2012_Wt_inclusive_top | 5000000 | 147.02 | 34.009  | 1.0 | 1.0 | 71.7  | 1.054 | 35.845486 | 
| 410014 | mc15_13TeV.410014.PowhegPythiaEvtGen_P2012_Wt_inclusive_antitop | 5000000 | 147.11 | 33.989  | 1.0 | 1.0 | 71.7  | 1.054 | 35.824406 | 
| 410017 | mc15_13TeV.410017.PowhegPythiaEvtGen_P2012radLo_singletop_tchan_lept_top | 3000000 | 74.36 | 40.343  | 0.3246 | 1.0 | 136.02  | 1.0944 | 14.331769063 | 
| 410018 | mc15_13TeV.410018.PowhegPythiaEvtGen_P2012radHi_singletop_tchan_lept_top | 3000000 | 67.6 | 44.38  | 0.3246 | 1.0 | 136.02  | 0.9949 | 14.331769063 | 
| 410019 | mc15_13TeV.410019.PowhegPythiaEvtGen_P2012radLo_singletop_tchan_lept_antitop | 2000000 | 84.21 | 23.751  | 0.3246 | 1.0 | 80.95  | 1.1063 | 8.529309702 | 
| 410020 | mc15_13TeV.410020.PowhegPythiaEvtGen_P2012radHi_singletop_tchan_lept_antitop | 2000000 | 75.79 | 26.387  | 0.3246 | 1.0 | 80.95  | 0.9958 | 8.529309702 | 
