| DSID |  Sample  | Total events | Sample Lumi [fb-1] | AMIXsec [pb] | BR  | FiltEff | Total higher order xsec [pb] | K-factor | Higher order xsec sample [pb] | 
| 301528 | mc15_13TeV.301528.PowhegPythiaEvtGen_P2012_ttbar_hdamp172p5_nonallhad_mtt_1 | 550000 | 167.39 | 696.25  | 1.0 | 0.004719 | 831.76  | 1.1949 | 3.926242464 | 
| 301529 | mc15_13TeV.301529.PowhegPythiaEvtGen_P2012_ttbar_hdamp172p5_nonallhad_mtt_2 | 230000 | 169.93 | 696.25  | 1.0 | 0.001944 | 831.76  | 1.1949 | 1.617309099 | 
| 301530 | mc15_13TeV.301530.PowhegPythiaEvtGen_P2012_ttbar_hdamp172p5_nonallhad_mtt_3 | 100000 | 166.42 | 696.23  | 1.0 | 0.000863 | 831.76  | 1.1949 | 0.718018025 | 
| 301531 | mc15_13TeV.301531.PowhegPythiaEvtGen_P2012_ttbar_hdamp172p5_nonallhad_mtt_4 | 75000 | 207.52 | 696.24  | 1.0 | 0.000519 | 831.76  | 1.1949 | 0.431858588 | 
| 301532 | mc15_13TeV.301532.PowhegPythiaEvtGen_P2012_ttbar_hdamp172p5_nonallhad_mtt_5 | 45000 | 209.04 | 696.25  | 1.0 | 0.000309 | 831.76  | 1.1949 | 0.25723035 | 
| 301539 | mc15_13TeV.301539.Sherpa_CT10_ttbar_ee_50M150 | 199500 | 38.31 | 5.2071  | 0.0123 | 1.0 | 831.76  | 1.363 | 7.0972773 | 
| 302910 | mc15_13TeV.302910.Sherpa_CT10_ttbar_ee_150M500 | 50000 | 22.36 | 2.2365  | 0.0123 | 1.0 | 831.76  | 1.363 | 3.0483495 | 
| 302911 | mc15_13TeV.302911.Sherpa_CT10_ttbar_ee_500M1000 | 46500 | 728.7 | 0.063812  | 0.0123 | 1.0 | 831.76  | 1.363 | 0.086975756 | 
| 302912 | mc15_13TeV.302912.Sherpa_CT10_ttbar_ee_1000M2000 | 50000 | 21507.23 | 0.0023248  | 0.0123 | 1.0 | 831.76  | 1.363 | 0.003168702 | 
| 302913 | mc15_13TeV.302913.Sherpa_CT10_ttbar_ee_2000M3000 | 50000 | 2247898.22 | 2.2243e-05  | 0.0123 | 1.0 | 831.76  | 1.363 | 3.0317e-05 | 
| 302914 | mc15_13TeV.302914.Sherpa_CT10_ttbar_ee_3000M4000 | 50000 | 58615272.8 | 8.5302e-07  | 0.0123 | 1.0 | 831.76  | 1.363 | 1.163e-06 | 
