| DSID |  Sample  | Total events | Sample Lumi [fb-1] | AMIXsec [pb] | BR  | FiltEff | Total higher order xsec [pb] | K-factor | Higher order xsec sample [pb] | 
| 410001 | mc15_13TeV.410001.PowhegPythiaEvtGen_P2012radHi_ttbar_hdamp345_down_nonallhad | 19995000 | 46.98 | 783.73  | 1.0 | 0.543 | 831.76  | 1.9545 | 831.76 | 
| 410002 | mc15_13TeV.410002.PowhegPythiaEvtGen_P2012radLo_ttbar_hdamp172_up_nonallhad | 20000000 | 60.27 | 611.1  | 1.0 | 0.543 | 831.76  | 2.5066 | 831.76 | 
| 410003 | mc15_13TeV.410003.aMcAtNloHerwigppEvtGen_ttbar_nonallhad | 29390000 | 77.92 | 694.59  | 1.0 | 0.543 | 831.76  | 2.2053 | 831.76 | 
| 410004 | mc15_13TeV.410004.PowhegHerwigppEvtGen_UEEE5_ttbar_hdamp172p5_nonallhad | 9820000 | 25.97 | 696.32  | 1.0 | 0.543 | 831.76  | 2.1998 | 831.76 | 
| 410006 | mc15_13TeV.410006.PowhegPythia8EvtGen_A14_ttbar_hdamp172p5_nonallhad | 10000000 | 26.45 | 696.35  | 1.0 | 0.543 | 831.76  | 2.1997 | 831.76 | 
| 410007 | mc15_13TeV.410007.PowhegPythiaEvtGen_P2012_ttbar_hdamp172p5_allhad | 10000000 | 31.43 | 696.21  | 1.0 | 0.457 | 831.76  | 2.6142 | 831.76 | 
| 410008 | mc15_13TeV.410008.aMcAtNloHerwigppEvtGen_ttbar_allhad | 4910000 | 15.47 | 694.44  | 1.0 | 0.457 | 831.76  | 2.6209 | 831.76 | 
| 410009 | mc15_13TeV.410009.PowhegPythiaEvtGen_P2012_ttbar_hdamp172p5_dil | 19965000 | 272.27 | 696.12  | 1.0 | 0.10534 | 831.76  | 11.3428 | 831.76 | 
| 410021 | mc15_13TeV.410021.Sherpa_CT10_ttbar_DiLepton_MEPS_NLO | 2000000 | 25.4 | 78.73  | 1.0 | 1.0 | 831.76  | 1.17 | 92.1141 | 
| 410022 | mc15_13TeV.410022.Sherpa_CT10_ttbar_SingleLeptonP_MEPS_NLO | 4977000 | 31.63 | 157.35  | 1.0 | 1.0 | 831.76  | 1.17 | 184.0995 | 
| 410023 | mc15_13TeV.410023.Sherpa_CT10_ttbar_SingleLeptonM_MEPS_NLO | 4993000 | 31.69 | 157.54  | 1.0 | 1.0 | 831.76  | 1.17 | 184.3218 | 
| 410024 | mc15_13TeV.410024.Sherpa_CT10_ttbar_AllHadron_MEPS_NLO | 9989000 | 31.61 | 315.99  | 1.0 | 1.0 | 831.76  | 1.17 | 369.7083 | 
| 410037 | mc15_13TeV.410037.PowhegPythiaEvtGen_P2012_ttbar_hdamp170_nonallhad | 8000000 | 19.73 | 745.61  | 1.0 | 0.54387 | Undefined  | 1.0 | 405.5149107 | 
| 410038 | mc15_13TeV.410038.PowhegPythiaEvtGen_P2012_ttbar_hdamp171p5_nonallhad | 8000000 | 20.56 | 715.51  | 1.0 | 0.54378 | Undefined  | 1.0 | 389.0800278 | 
| 410039 | mc15_13TeV.410039.PowhegPythiaEvtGen_P2012_ttbar_hdamp173p5_nonallhad | 8000000 | 21.71 | 677.57  | 1.0 | 0.5438 | Undefined  | 1.0 | 368.462566 | 
| 410040 | mc15_13TeV.410040.PowhegPythiaEvtGen_P2012_ttbar_hdamp175_nonallhad | 8000000 | 22.61 | 650.65  | 1.0 | 0.54384 | Undefined  | 1.0 | 353.849496 | 
| 410041 | mc15_13TeV.410041.PowhegPythiaEvtGen_P2012_ttbar_hdamp177p5_nonallhad | 8135000 | 24.58 | 608.55  | 1.0 | 0.54377 | Undefined  | 1.0 | 330.9112335 | 
