| DSID |  Sample  | Total events | Sample Lumi [fb-1] | AMIXsec [pb] | BR  | FiltEff | Total higher order xsec [pb] | K-factor | Higher order xsec sample [pb] | 
| 361800 | mc15_13TeV.361800.AlpgenPythiaEvtGen_P2012_WenuNp0 | 15000000 | 1.05 | 14322.0  | 1.0 | 1.0 | 20080.  | 1.0804 | 15473.4888 | 
| 361801 | mc15_13TeV.361801.AlpgenPythiaEvtGen_P2012_WenuNp1 | 29990000 | 9.86 | 3042.3  | 1.0 | 1.0 | 20080.  | 1.0804 | 3286.90092 | 
| 361802 | mc15_13TeV.361802.AlpgenPythiaEvtGen_P2012_WenuNp2 | 10000000 | 11.65 | 858.06  | 1.0 | 1.0 | 20080.  | 1.0804 | 927.048024 | 
| 361803 | mc15_13TeV.361803.AlpgenPythiaEvtGen_P2012_WenuNp3 | 16000000 | 63.5 | 251.95  | 1.0 | 1.0 | 20080.  | 1.0804 | 272.20678 | 
| 361804 | mc15_13TeV.361804.AlpgenPythiaEvtGen_P2012_WenuNp4 | 4990000 | 64.44 | 77.439  | 1.0 | 1.0 | 20080.  | 1.0804 | 83.6650956 | 
| 361805 | mc15_13TeV.361805.AlpgenPythiaEvtGen_P2012_WenuNp5 | 2000000 | 59.93 | 33.371  | 1.0 | 1.0 | 20080.  | 1.0804 | 36.0540284 | 
| 361810 | mc15_13TeV.361810.AlpgenPythiaEvtGen_P2012_WmunuNp0 | 15000000 | 1.05 | 14323.0  | 1.0 | 1.0 | 20080.  | 1.0804 | 15474.5692 | 
| 361811 | mc15_13TeV.361811.AlpgenPythiaEvtGen_P2012_WmunuNp1 | 30000000 | 9.86 | 3041.4  | 1.0 | 1.0 | 20080.  | 1.0804 | 3285.92856 | 
| 361812 | mc15_13TeV.361812.AlpgenPythiaEvtGen_P2012_WmunuNp2 | 10000000 | 11.65 | 858.11  | 1.0 | 1.0 | 20080.  | 1.0804 | 927.102044 | 
| 361813 | mc15_13TeV.361813.AlpgenPythiaEvtGen_P2012_WmunuNp3 | 8000000 | 31.74 | 252.01  | 1.0 | 1.0 | 20080.  | 1.0804 | 272.271604 | 
| 361814 | mc15_13TeV.361814.AlpgenPythiaEvtGen_P2012_WmunuNp4 | 4995000 | 64.45 | 77.496  | 1.0 | 1.0 | 20080.  | 1.0804 | 83.7266784 | 
| 361815 | mc15_13TeV.361815.AlpgenPythiaEvtGen_P2012_WmunuNp5 | 2000000 | 59.99 | 33.341  | 1.0 | 1.0 | 20080.  | 1.0804 | 36.0216164 | 
| 361820 | mc15_13TeV.361820.AlpgenPythiaEvtGen_P2012_WtaunuNp0 | 15000000 | 1.05 | 14322.0  | 1.0 | 1.0 | 20080.  | 1.0804 | 15473.4888 | 
| 361821 | mc15_13TeV.361821.AlpgenPythiaEvtGen_P2012_WtaunuNp1 | 30000000 | 9.86 | 3041.8  | 1.0 | 1.0 | 20080.  | 1.0804 | 3286.36072 | 
| 361822 | mc15_13TeV.361822.AlpgenPythiaEvtGen_P2012_WtaunuNp2 | 10000000 | 11.65 | 858.14  | 1.0 | 1.0 | 20080.  | 1.0804 | 927.134456 | 
| 361823 | mc15_13TeV.361823.AlpgenPythiaEvtGen_P2012_WtaunuNp3 | 8000000 | 31.73 | 252.16  | 1.0 | 1.0 | 20080.  | 1.0804 | 272.433664 | 
| 361824 | mc15_13TeV.361824.AlpgenPythiaEvtGen_P2012_WtaunuNp4 | 5000000 | 64.48 | 77.549  | 1.0 | 1.0 | 20080.  | 1.0804 | 83.7839396 | 
| 361825 | mc15_13TeV.361825.AlpgenPythiaEvtGen_P2012_WtaunuNp5 | 2000000 | 60.1 | 33.279  | 1.0 | 1.0 | 20080.  | 1.0804 | 35.9546316 | 
| 361830 | mc15_13TeV.361830.AlpgenPythiaEvtGen_P2012_WenubbNp0 | 2595000 | 1177.94 | 2.203  | 1.0 | 1.0 | Undefined  | 1.0 | 2.203 | 
| 361831 | mc15_13TeV.361831.AlpgenPythiaEvtGen_P2012_WenubbNp1 | 2400000 | 977.48 | 2.4553  | 1.0 | 1.0 | Undefined  | 1.0 | 2.4553 | 
| 361832 | mc15_13TeV.361832.AlpgenPythiaEvtGen_P2012_WenubbNp2 | 1195000 | 817.04 | 1.4626  | 1.0 | 1.0 | Undefined  | 1.0 | 1.4626 | 
| 361833 | mc15_13TeV.361833.AlpgenPythiaEvtGen_P2012_WenubbNp3 | 700000 | 600.6 | 1.1655  | 1.0 | 1.0 | Undefined  | 1.0 | 1.1655 | 
| 361835 | mc15_13TeV.361835.AlpgenPythiaEvtGen_P2012_WmunubbNp0 | 2595000 | 1178.1 | 2.2027  | 1.0 | 1.0 | Undefined  | 1.0 | 2.2027 | 
| 361836 | mc15_13TeV.361836.AlpgenPythiaEvtGen_P2012_WmunubbNp1 | 2400000 | 976.8 | 2.457  | 1.0 | 1.0 | Undefined  | 1.0 | 2.457 | 
| 361837 | mc15_13TeV.361837.AlpgenPythiaEvtGen_P2012_WmunubbNp2 | 1200000 | 820.01 | 1.4634  | 1.0 | 1.0 | Undefined  | 1.0 | 1.4634 | 
| 361838 | mc15_13TeV.361838.AlpgenPythiaEvtGen_P2012_WmunubbNp3 | 700000 | 599.73 | 1.1672  | 1.0 | 1.0 | Undefined  | 1.0 | 1.1672 | 
| 361840 | mc15_13TeV.361840.AlpgenPythiaEvtGen_P2012_WtaunubbNp0 | 2600000 | 1179.35 | 2.2046  | 1.0 | 1.0 | Undefined  | 1.0 | 2.2046 | 
| 361841 | mc15_13TeV.361841.AlpgenPythiaEvtGen_P2012_WtaunubbNp1 | 2400000 | 977.4 | 2.4555  | 1.0 | 1.0 | Undefined  | 1.0 | 2.4555 | 
| 361842 | mc15_13TeV.361842.AlpgenPythiaEvtGen_P2012_WtaunubbNp2 | 1195000 | 815.98 | 1.4645  | 1.0 | 1.0 | Undefined  | 1.0 | 1.4645 | 
| 361843 | mc15_13TeV.361843.AlpgenPythiaEvtGen_P2012_WtaunubbNp3 | 700000 | 599.73 | 1.1672  | 1.0 | 1.0 | Undefined  | 1.0 | 1.1672 | 
| 361845 | mc15_13TeV.361845.AlpgenPythiaEvtGen_P2012_WenuccNp0 | 2295000 | 26.71 | 85.913  | 1.0 | 1.0 | Undefined  | 1.0 | 85.913 | 
