| DSID |  Sample  | Total events | Sample Lumi [fb-1] | AMIXsec [pb] | BR  | FiltEff | Total higher order xsec [pb] | K-factor | Higher order xsec sample [pb] | 
| 361520 | mc15_13TeV.361520.MadGraphPythia8EvtGen_A14NNPDF23LO_Wenu_Np0 | 14000000 | 1.0 | 13939.0  | 1.0 | 1.0 | 20080.0591  | 1.2019 | 16752.58715 | 
| 361521 | mc15_13TeV.361521.MadGraphPythia8EvtGen_A14NNPDF23LO_Wenu_Np1 | 9500000 | 5.02 | 1894.0  | 1.0 | 1.0 | 20080.0591  | 1.2019 | 2276.3039 | 
| 361522 | mc15_13TeV.361522.MadGraphPythia8EvtGen_A14NNPDF23LO_Wenu_Np2 | 6500000 | 10.11 | 642.66  | 1.0 | 1.0 | 20080.0591  | 1.2019 | 772.380921 | 
| 361523 | mc15_13TeV.361523.MadGraphPythia8EvtGen_A14NNPDF23LO_Wenu_Np3 | 3550000 | 19.81 | 179.18  | 1.0 | 1.0 | 20080.0591  | 1.2019 | 215.347483 | 
| 361524 | mc15_13TeV.361524.MadGraphPythia8EvtGen_A14NNPDF23LO_Wenu_Np4 | 4492000 | 63.45 | 70.791  | 1.0 | 1.0 | 20080.0591  | 1.2019 | 85.08016335 | 
| 361525 | mc15_13TeV.361525.MadGraphPythia8EvtGen_A14NNPDF23LO_Wmunu_Np0 | 14000000 | 1.0 | 13935.0  | 1.0 | 1.0 | 20080.0591  | 1.2019 | 16747.77975 | 
| 361526 | mc15_13TeV.361526.MadGraphPythia8EvtGen_A14NNPDF23LO_Wmunu_Np1 | 9500000 | 5.02 | 1893.3  | 1.0 | 1.0 | 20080.0591  | 1.2019 | 2275.462605 | 
| 361527 | mc15_13TeV.361527.MadGraphPythia8EvtGen_A14NNPDF23LO_Wmunu_Np2 | 6500000 | 10.11 | 642.7  | 1.0 | 1.0 | 20080.0591  | 1.2019 | 772.428995 | 
| 361528 | mc15_13TeV.361528.MadGraphPythia8EvtGen_A14NNPDF23LO_Wmunu_Np3 | 3550000 | 19.81 | 179.19  | 1.0 | 1.0 | 20080.0591  | 1.2019 | 215.3595015 | 
| 361529 | mc15_13TeV.361529.MadGraphPythia8EvtGen_A14NNPDF23LO_Wmunu_Np4 | 4500000 | 63.57 | 70.784  | 1.0 | 1.0 | 20080.0591  | 1.2019 | 85.0717504 | 
| 361530 | mc15_13TeV.361530.MadGraphPythia8EvtGen_A14NNPDF23LO_Wtaunu_Np0 | 14000000 | 1.01 | 13920.0  | 1.0 | 1.0 | 20080.0591  | 1.2019 | 16729.752 | 
