| DSID |  Sample  | Total events | Sample Lumi [fb-1] | AMIXsec [pb] | BR  | FiltEff | Total higher order xsec [pb] | K-factor | Higher order xsec sample [pb] | 
| 301060 | mc15_13TeV.301060.PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wplusenu_120M180 | 500000 | 15.6 | 32.053  | 1.0 | 1.0 | Undefined  | 1.0 | 32.053 | 
| 301061 | mc15_13TeV.301061.PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wplusenu_180M250 | 250000 | 49.97 | 5.0029  | 1.0 | 1.0 | Undefined  | 1.0 | 5.0029 | 
| 301062 | mc15_13TeV.301062.PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wplusenu_250M400 | 140000 | 79.8 | 1.7543  | 1.0 | 1.0 | Undefined  | 1.0 | 1.7543 | 
| 301063 | mc15_13TeV.301063.PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wplusenu_400M600 | 100000 | 320.15 | 0.31235  | 1.0 | 1.0 | Undefined  | 1.0 | 0.31235 | 
| 301064 | mc15_13TeV.301064.PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wplusenu_600M800 | 50000 | 822.46 | 0.060793  | 1.0 | 1.0 | Undefined  | 1.0 | 0.060793 | 
| 301065 | mc15_13TeV.301065.PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wplusenu_800M1000 | 50000 | 2829.98 | 0.017668  | 1.0 | 1.0 | Undefined  | 1.0 | 0.017668 | 
| 301066 | mc15_13TeV.301066.PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wplusenu_1000M1250 | 50000 | 6859.18 | 0.0072895  | 1.0 | 1.0 | Undefined  | 1.0 | 0.0072895 | 
| 301067 | mc15_13TeV.301067.PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wplusenu_1250M1500 | 50000 | 19943.36 | 0.0025071  | 1.0 | 1.0 | Undefined  | 1.0 | 0.0025071 | 
| 301068 | mc15_13TeV.301068.PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wplusenu_1500M1750 | 50000 | 50695.54 | 0.00098628  | 1.0 | 1.0 | Undefined  | 1.0 | 0.00098628 | 
| 301069 | mc15_13TeV.301069.PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wplusenu_1750M2000 | 40000 | 94228.5 | 0.0004245  | 1.0 | 1.0 | Undefined  | 1.0 | 0.0004245 | 
| 301070 | mc15_13TeV.301070.PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wplusenu_2000M2250 | 50000 | 256897.7 | 0.00019463  | 1.0 | 1.0 | Undefined  | 1.0 | 0.00019463 | 
| 301071 | mc15_13TeV.301071.PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wplusenu_2250M2500 | 50000 | 535624.38 | 9.3349e-05  | 1.0 | 1.0 | Undefined  | 1.0 | 9.3349e-05 | 
| 301072 | mc15_13TeV.301072.PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wplusenu_2500M2750 | 50000 | 1080870.75 | 4.6259e-05  | 1.0 | 1.0 | Undefined  | 1.0 | 4.6259e-05 | 
| 301073 | mc15_13TeV.301073.PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wplusenu_2750M3000 | 50000 | 2129834.72 | 2.3476e-05  | 1.0 | 1.0 | Undefined  | 1.0 | 2.3476e-05 | 
| 301074 | mc15_13TeV.301074.PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wplusenu_3000M3500 | 50000 | 2710027.1 | 1.845e-05  | 1.0 | 1.0 | Undefined  | 1.0 | 1.845e-05 | 
| 301075 | mc15_13TeV.301075.PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wplusenu_3500M4000 | 50000 | 9810076.91 | 5.0968e-06  | 1.0 | 1.0 | Undefined  | 1.0 | 5.097e-06 | 
| 301076 | mc15_13TeV.301076.PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wplusenu_4000M4500 | 50000 | 34947927.59 | 1.4307e-06  | 1.0 | 1.0 | Undefined  | 1.0 | 1.431e-06 | 
| 301077 | mc15_13TeV.301077.PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wplusenu_4500M5000 | 50000 | 124604381.09 | 4.0127e-07  | 1.0 | 1.0 | Undefined  | 1.0 | 4.01e-07 | 
| 301078 | mc15_13TeV.301078.PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wplusenu_5000M | 50000 | 325817802.68 | 1.5346e-07  | 1.0 | 1.0 | Undefined  | 1.0 | 1.53e-07 | 
| 301080 | mc15_13TeV.301080.PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wminenu_120M180 | 500000 | 22.52 | 22.198  | 1.0 | 1.0 | Undefined  | 1.0 | 22.198 | 
| 301081 | mc15_13TeV.301081.PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wminenu_180M250 | 250000 | 76.1 | 3.2852  | 1.0 | 1.0 | Undefined  | 1.0 | 3.2852 | 
| 301082 | mc15_13TeV.301082.PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wminenu_250M400 | 150000 | 138.48 | 1.0832  | 1.0 | 1.0 | Undefined  | 1.0 | 1.0832 | 
| 301083 | mc15_13TeV.301083.PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wminenu_400M600 | 100000 | 570.09 | 0.17541  | 1.0 | 1.0 | Undefined  | 1.0 | 0.17541 | 
| 301084 | mc15_13TeV.301084.PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wminenu_600M800 | 50000 | 1613.94 | 0.03098  | 1.0 | 1.0 | Undefined  | 1.0 | 0.03098 | 
| 301085 | mc15_13TeV.301085.PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wminenu_800M1000 | 50000 | 6033.91 | 0.0082865  | 1.0 | 1.0 | Undefined  | 1.0 | 0.0082865 | 
| 301086 | mc15_13TeV.301086.PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wminenu_1000M1250 | 50000 | 15825.79 | 0.0031594  | 1.0 | 1.0 | Undefined  | 1.0 | 0.0031594 | 
| 301087 | mc15_13TeV.301087.PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wminenu_1250M1500 | 50000 | 49855.42 | 0.0010029  | 1.0 | 1.0 | Undefined  | 1.0 | 0.0010029 | 
| 301088 | mc15_13TeV.301088.PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wminenu_1500M1750 | 50000 | 135825.27 | 0.00036812  | 1.0 | 1.0 | Undefined  | 1.0 | 0.00036812 | 
| 301089 | mc15_13TeV.301089.PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wminenu_1750M2000 | 50000 | 334560.05 | 0.00014945  | 1.0 | 1.0 | Undefined  | 1.0 | 0.00014945 | 
| 301090 | mc15_13TeV.301090.PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wminenu_2000M2250 | 50000 | 765567.82 | 6.5311e-05  | 1.0 | 1.0 | Undefined  | 1.0 | 6.5311e-05 | 
| 301091 | mc15_13TeV.301091.PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wminenu_2250M2500 | 50000 | 1657440.25 | 3.0167e-05  | 1.0 | 1.0 | Undefined  | 1.0 | 3.0167e-05 | 
| 301092 | mc15_13TeV.301092.PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wminenu_2500M2750 | 50000 | 3436662.31 | 1.4549e-05  | 1.0 | 1.0 | Undefined  | 1.0 | 1.4549e-05 | 
| 301093 | mc15_13TeV.301093.PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wminenu_2750M3000 | 50000 | 6887811.33 | 7.2592e-06  | 1.0 | 1.0 | Undefined  | 1.0 | 7.259e-06 | 
| 301094 | mc15_13TeV.301094.PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wminenu_3000M3500 | 50000 | 8819586.54 | 5.6692e-06  | 1.0 | 1.0 | Undefined  | 1.0 | 5.669e-06 | 
| 301095 | mc15_13TeV.301095.PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wminenu_3500M4000 | 50000 | 31298904.54 | 1.5975e-06  | 1.0 | 1.0 | Undefined  | 1.0 | 1.598e-06 | 
| 301096 | mc15_13TeV.301096.PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wminenu_4000M4500 | 50000 | 105909764.88 | 4.721e-07  | 1.0 | 1.0 | Undefined  | 1.0 | 4.72e-07 | 
| 301097 | mc15_13TeV.301097.PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wminenu_4500M5000 | 50000 | 350164577.35 | 1.4279e-07  | 1.0 | 1.0 | Undefined  | 1.0 | 1.43e-07 | 
| 301098 | mc15_13TeV.301098.PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wminenu_5000M | 50000 | 811372192.65 | 6.1624e-08  | 1.0 | 1.0 | Undefined  | 1.0 | 6.2e-08 | 
