| DSID |  Sample  | Total events | Sample Lumi [fb-1] | AMIXsec [pb] | BR  | FiltEff | Total higher order xsec [pb] | K-factor | Higher order xsec sample [pb] | 
| 363333 | mc15_13TeV.363333.Sherpa_NNPDF30NNLO_Wtaunu_Pt0_70_BFilter | 6000000 | 6.4 | 20015.0  | 1.0 | 0.04684 | 20079.9707  | 0.9702 | 909.56502252 | 
| 363336 | mc15_13TeV.363336.Sherpa_NNPDF30NNLO_Wtaunu_Pt70_140_BFilter | 4500000 | 88.91 | 589.83  | 1.0 | 0.085814 | 20079.9707  | 0.9702 | 49.107324606 | 
| 363339 | mc15_13TeV.363339.Sherpa_NNPDF30NNLO_Wtaunu_Pt140_280_BFilter | 3949200 | 444.95 | 84.177  | 1.0 | 0.10544 | 20079.9707  | 0.9702 | 8.611129318 | 
| 363342 | mc15_13TeV.363342.Sherpa_NNPDF30NNLO_Wtaunu_Pt280_500_BFilter | 1000000 | 1363.73 | 6.0788  | 1.0 | 0.12063 | 20079.9707  | 0.9702 | 0.711433732 | 
| 363345 | mc15_13TeV.363345.Sherpa_NNPDF30NNLO_Wtaunu_Pt500_700_BFilter | 300000 | 6063.58 | 0.37627  | 1.0 | 0.13149 | 20079.9707  | 0.9702 | 0.048001365 | 
| 363348 | mc15_13TeV.363348.Sherpa_NNPDF30NNLO_Wtaunu_Pt700_1000_BFilter | 100000 | 10260.18 | 0.067277  | 1.0 | 0.14487 | 20079.9707  | 0.9702 | 0.009455976 | 
| 363351 | mc15_13TeV.363351.Sherpa_NNPDF30NNLO_Wtaunu_Pt1000_2000_BFilter | 10000 | 7848.28 | 0.00902  | 1.0 | 0.14126 | 20079.9707  | 0.9702 | 0.001236195 | 
| 363354 | mc15_13TeV.363354.Sherpa_NNPDF30NNLO_Wtaunu_Pt2000_E_CMS_BFilter | 10000 | 1886386.3 | 2.9392e-05  | 1.0 | 0.18036 | 20079.9707  | 0.9702 | 5.143e-06 | 
| 363438 | mc15_13TeV.363438.Sherpa_NNPDF30NNLO_Wmunu_Pt0_70_BFilter | 5999500 | 6.41 | 20020.0  | 1.0 | 0.046728 | 20079.9707  | 0.9702 | 907.616822112 | 
| 363441 | mc15_13TeV.363441.Sherpa_NNPDF30NNLO_Wmunu_Pt70_140_BFilter | 4500000 | 87.63 | 590.05  | 1.0 | 0.087028 | 20079.9707  | 0.9702 | 49.820615432 | 
| 363444 | mc15_13TeV.363444.Sherpa_NNPDF30NNLO_Wmunu_Pt140_280_BFilter | 4000000 | 448.84 | 83.964  | 1.0 | 0.10614 | 20079.9707  | 0.9702 | 8.646363179 | 
| 363447 | mc15_13TeV.363447.Sherpa_NNPDF30NNLO_Wmunu_Pt280_500_BFilter | 1000000 | 1327.51 | 6.1503  | 1.0 | 0.12248 | 20079.9707  | 0.9702 | 0.730840739 | 
| 363450 | mc15_13TeV.363450.Sherpa_NNPDF30NNLO_Wmunu_Pt500_700_BFilter | 274600 | 5276.92 | 0.3807  | 1.0 | 0.13669 | 20079.9707  | 0.9702 | 0.050487154 | 
| 363453 | mc15_13TeV.363453.Sherpa_NNPDF30NNLO_Wmunu_Pt700_1000_BFilter | 100000 | 10290.4 | 0.068219  | 1.0 | 0.14245 | 20079.9707  | 0.9702 | 0.009428206 | 
| 363456 | mc15_13TeV.363456.Sherpa_NNPDF30NNLO_Wmunu_Pt1000_2000_BFilter | 10000 | 7553.67 | 0.0088975  | 1.0 | 0.14879 | 20079.9707  | 0.9702 | 0.001284408 | 
| 363459 | mc15_13TeV.363459.Sherpa_NNPDF30NNLO_Wmunu_Pt2000_E_CMS_BFilter | 10000 | 1825710.91 | 2.7767e-05  | 1.0 | 0.19726 | 20079.9707  | 0.9702 | 5.314e-06 | 
| 363462 | mc15_13TeV.363462.Sherpa_NNPDF30NNLO_Wenu_Pt0_70_BFilter | 6000000 | 6.38 | 20004.0  | 1.0 | 0.046999 | 20079.9707  | 0.9702 | 912.150989719 | 
| 363465 | mc15_13TeV.363465.Sherpa_NNPDF30NNLO_Wenu_Pt70_140_BFilter | 4500000 | 88.11 | 589.06  | 1.0 | 0.086703 | 20079.9707  | 0.9702 | 49.551285758 | 
| 363468 | mc15_13TeV.363468.Sherpa_NNPDF30NNLO_Wenu_Pt140_280_BFilter | 3995000 | 447.65 | 84.128  | 1.0 | 0.10608 | 20079.9707  | 0.9702 | 8.658354152 | 
| 363471 | mc15_13TeV.363471.Sherpa_NNPDF30NNLO_Wenu_Pt280_500_BFilter | 1000000 | 1323.76 | 6.0828  | 1.0 | 0.12419 | 20079.9707  | 0.9702 | 0.732911329 | 
| 363474 | mc15_13TeV.363474.Sherpa_NNPDF30NNLO_Wenu_Pt500_700_BFilter | 300000 | 5702.75 | 0.38452  | 1.0 | 0.13681 | 20079.9707  | 0.9702 | 0.051038517 | 
| 363477 | mc15_13TeV.363477.Sherpa_NNPDF30NNLO_Wenu_Pt700_1000_BFilter | 100000 | 10229.06 | 0.072063  | 1.0 | 0.13566 | 20079.9707  | 0.9702 | 0.00948474 | 
| 363480 | mc15_13TeV.363480.Sherpa_NNPDF30NNLO_Wenu_Pt1000_2000_BFilter | 10000 | 7422.02 | 0.0088869  | 1.0 | 0.15161 | 20079.9707  | 0.9702 | 0.001307192 | 
| 363483 | mc15_13TeV.363483.Sherpa_NNPDF30NNLO_Wenu_Pt2000_E_CMS_BFilter | 10000 | 2618447.25 | 2.9071e-05  | 1.0 | 0.13137 | 20079.9707  | 0.9702 | 3.705e-06 | 
