| DSID |  Sample  | Total events | Sample Lumi [fb-1] | AMIXsec [pb] | BR  | FiltEff | Total higher order xsec [pb] | K-factor | Higher order xsec sample [pb] | 
| 363332 | mc15_13TeV.363332.Sherpa_NNPDF30NNLO_Wtaunu_Pt0_70_CFilterBVeto | 6000000 | 2.17 | 20028.0  | 1.0 | 0.13812 | 20079.9707  | 0.9702 | 2683.83259267 | 
| 363335 | mc15_13TeV.363335.Sherpa_NNPDF30NNLO_Wtaunu_Pt70_140_CFilterBVeto | 4500000 | 30.21 | 590.11  | 1.0 | 0.25246 | 20079.9707  | 0.9702 | 144.539591316 | 
| 363338 | mc15_13TeV.363338.Sherpa_NNPDF30NNLO_Wtaunu_Pt140_280_CFilterBVeto | 4000000 | 172.03 | 84.282  | 1.0 | 0.27588 | 20079.9707  | 0.9702 | 22.558816959 | 
| 363341 | mc15_13TeV.363341.Sherpa_NNPDF30NNLO_Wtaunu_Pt280_500_CFilterBVeto | 1000000 | 574.78 | 6.0652  | 1.0 | 0.28685 | 20079.9707  | 0.9702 | 1.687956502 | 
| 363344 | mc15_13TeV.363344.Sherpa_NNPDF30NNLO_Wtaunu_Pt500_700_CFilterBVeto | 300000 | 2675.08 | 0.37794  | 1.0 | 0.29673 | 20079.9707  | 0.9702 | 0.108804181 | 
| 363347 | mc15_13TeV.363347.Sherpa_NNPDF30NNLO_Wtaunu_Pt700_1000_CFilterBVeto | 100000 | 5033.66 | 0.067963  | 1.0 | 0.29231 | 20079.9707  | 0.9702 | 0.01927425 | 
| 363350 | mc15_13TeV.363350.Sherpa_NNPDF30NNLO_Wtaunu_Pt1000_2000_CFilterBVeto | 10000 | 3864.89 | 0.0089116  | 1.0 | 0.29034 | 20079.9707  | 0.9702 | 0.00251029 | 
| 363353 | mc15_13TeV.363353.Sherpa_NNPDF30NNLO_Wtaunu_Pt2000_E_CMS_CFilterBVeto | 10000 | 1114230.31 | 3.0985e-05  | 1.0 | 0.28965 | 20079.9707  | 0.9702 | 8.707e-06 | 
| 363437 | mc15_13TeV.363437.Sherpa_NNPDF30NNLO_Wmunu_Pt0_70_CFilterBVeto | 6000000 | 2.18 | 20033.0  | 1.0 | 0.13764 | 20079.9707  | 0.9702 | 2675.17332482 | 
| 363440 | mc15_13TeV.363440.Sherpa_NNPDF30NNLO_Wmunu_Pt70_140_CFilterBVeto | 4500000 | 30.08 | 590.75  | 1.0 | 0.25322 | 20079.9707  | 0.9702 | 145.131941493 | 
| 363443 | mc15_13TeV.363443.Sherpa_NNPDF30NNLO_Wmunu_Pt140_280_CFilterBVeto | 4000000 | 171.59 | 84.296  | 1.0 | 0.27655 | 20079.9707  | 0.9702 | 22.617359448 | 
| 363446 | mc15_13TeV.363446.Sherpa_NNPDF30NNLO_Wmunu_Pt280_500_CFilterBVeto | 1000000 | 574.61 | 6.0684  | 1.0 | 0.28678 | 20079.9707  | 0.9702 | 1.688434939 | 
| 363449 | mc15_13TeV.363449.Sherpa_NNPDF30NNLO_Wmunu_Pt500_700_CFilterBVeto | 300000 | 2716.83 | 0.37959  | 1.0 | 0.2909 | 20079.9707  | 0.9702 | 0.107132134 | 
| 363452 | mc15_13TeV.363452.Sherpa_NNPDF30NNLO_Wmunu_Pt700_1000_CFilterBVeto | 100000 | 5331.87 | 0.068517  | 1.0 | 0.27373 | 20079.9707  | 0.9702 | 0.018196255 | 
| 363455 | mc15_13TeV.363455.Sherpa_NNPDF30NNLO_Wmunu_Pt1000_2000_CFilterBVeto | 10000 | 3888.81 | 0.0088991  | 1.0 | 0.28896 | 20079.9707  | 0.9702 | 0.002494854 | 
| 363458 | mc15_13TeV.363458.Sherpa_NNPDF30NNLO_Wmunu_Pt2000_E_CMS_CFilterBVeto | 10000 | 988796.12 | 3.2907e-05  | 1.0 | 0.30733 | 20079.9707  | 0.9702 | 9.812e-06 | 
| 363461 | mc15_13TeV.363461.Sherpa_NNPDF30NNLO_Wenu_Pt0_70_CFilterBVeto | 6000000 | 2.17 | 20015.0  | 1.0 | 0.13825 | 20079.9707  | 0.9702 | 2684.61495225 | 
| 363464 | mc15_13TeV.363464.Sherpa_NNPDF30NNLO_Wenu_Pt70_140_CFilterBVeto | 4500000 | 29.82 | 589.12  | 1.0 | 0.25614 | 20079.9707  | 0.9702 | 146.400460335 | 
| 363467 | mc15_13TeV.363467.Sherpa_NNPDF30NNLO_Wenu_Pt140_280_CFilterBVeto | 4000000 | 171.75 | 84.191  | 1.0 | 0.27663 | 20079.9707  | 0.9702 | 22.595721591 | 
| 363470 | mc15_13TeV.363470.Sherpa_NNPDF30NNLO_Wenu_Pt280_500_CFilterBVeto | 1000000 | 572.2 | 6.0796  | 1.0 | 0.28746 | 20079.9707  | 0.9702 | 1.69556209 | 
| 363473 | mc15_13TeV.363473.Sherpa_NNPDF30NNLO_Wenu_Pt500_700_CFilterBVeto | 300000 | 2713.95 | 0.38112  | 1.0 | 0.29004 | 20079.9707  | 0.9702 | 0.107245951 | 
| 363476 | mc15_13TeV.363476.Sherpa_NNPDF30NNLO_Wenu_Pt700_1000_CFilterBVeto | 100000 | 5099.97 | 0.067651  | 1.0 | 0.28984 | 20079.9707  | 0.9702 | 0.019023648 | 
| 363479 | mc15_13TeV.363479.Sherpa_NNPDF30NNLO_Wenu_Pt1000_2000_CFilterBVeto | 10000 | 3969.42 | 0.0088697  | 1.0 | 0.28403 | 20079.9707  | 0.9702 | 0.002444187 | 
| 363482 | mc15_13TeV.363482.Sherpa_NNPDF30NNLO_Wenu_Pt2000_E_CMS_CFilterBVeto | 10000 | 4104087.85 | 2.5889e-05  | 1.0 | 0.094117 | 20079.9707  | 0.9702 | 2.364e-06 | 
