| DSID |  Sample  | Total events | Sample Lumi [fb-1] | AMIXsec [pb] | BR  | FiltEff | Total higher order xsec [pb] | K-factor | Higher order xsec sample [pb] | 
| 363331 | mc15_13TeV.363331.Sherpa_NNPDF30NNLO_Wtaunu_Pt0_70_CVetoBVeto | 20000000 | 1.23 | 20024.0  | 1.0 | 0.81442 | 20079.9707  | 0.9702 | 15821.9692868 | 
| 363334 | mc15_13TeV.363334.Sherpa_NNPDF30NNLO_Wtaunu_Pt70_140_CVetoBVeto | 4500000 | 11.62 | 589.14  | 1.0 | 0.6574 | 20079.9707  | 0.9702 | 375.759077047 | 
| 363337 | mc15_13TeV.363337.Sherpa_NNPDF30NNLO_Wtaunu_Pt140_280_CVetoBVeto | 4000000 | 77.35 | 84.22  | 1.0 | 0.61404 | 20079.9707  | 0.9702 | 50.173358226 | 
| 363340 | mc15_13TeV.363340.Sherpa_NNPDF30NNLO_Wtaunu_Pt280_500_CVetoBVeto | 1000000 | 281.18 | 6.0858  | 1.0 | 0.58438 | 20079.9707  | 0.9702 | 3.450438494 | 
| 363343 | mc15_13TeV.363343.Sherpa_NNPDF30NNLO_Wtaunu_Pt500_700_CVetoBVeto | 500000 | 2311.25 | 0.38105  | 1.0 | 0.56773 | 20079.9707  | 0.9702 | 0.209886778 | 
| 363346 | mc15_13TeV.363346.Sherpa_NNPDF30NNLO_Wtaunu_Pt700_1000_CVetoBVeto | 200000 | 4865.02 | 0.073222  | 1.0 | 0.56144 | 20079.9707  | 0.9702 | 0.039884689 | 
| 363349 | mc15_13TeV.363349.Sherpa_NNPDF30NNLO_Wtaunu_Pt1000_2000_CVetoBVeto | 10000 | 1992.99 | 0.0090285  | 1.0 | 0.55575 | 20079.9707  | 0.9702 | 0.004868065 | 
| 363352 | mc15_13TeV.363352.Sherpa_NNPDF30NNLO_Wtaunu_Pt2000_E_CMS_CVetoBVeto | 10000 | 681083.56 | 2.6193e-05  | 1.0 | 0.56055 | 20079.9707  | 0.9702 | 1.4245e-05 | 
| 363436 | mc15_13TeV.363436.Sherpa_NNPDF30NNLO_Wmunu_Pt0_70_CVetoBVeto | 20000000 | 1.23 | 20011.0  | 1.0 | 0.81357 | 20079.9707  | 0.9702 | 15795.1948618 | 
| 363439 | mc15_13TeV.363439.Sherpa_NNPDF30NNLO_Wmunu_Pt70_140_CVetoBVeto | 4500000 | 11.56 | 589.74  | 1.0 | 0.66021 | 20079.9707  | 0.9702 | 377.749548487 | 
| 363442 | mc15_13TeV.363442.Sherpa_NNPDF30NNLO_Wmunu_Pt140_280_CVetoBVeto | 4000000 | 77.43 | 84.068  | 1.0 | 0.61447 | 20079.9707  | 0.9702 | 50.117877494 | 
| 363445 | mc15_13TeV.363445.Sherpa_NNPDF30NNLO_Wmunu_Pt280_500_CVetoBVeto | 1000000 | 262.83 | 6.5041  | 1.0 | 0.58498 | 20079.9707  | 0.9702 | 3.691386319 | 
| 363448 | mc15_13TeV.363448.Sherpa_NNPDF30NNLO_Wmunu_Pt500_700_CVetoBVeto | 500000 | 2273.93 | 0.38798  | 1.0 | 0.56674 | 20079.9707  | 0.9702 | 0.213331248 | 
| 363451 | mc15_13TeV.363451.Sherpa_NNPDF30NNLO_Wmunu_Pt700_1000_CVetoBVeto | 200000 | 5228.62 | 0.068303  | 1.0 | 0.56002 | 20079.9707  | 0.9702 | 0.037111165 | 
| 363454 | mc15_13TeV.363454.Sherpa_NNPDF30NNLO_Wmunu_Pt1000_2000_CVetoBVeto | 10000 | 2026.07 | 0.0089461  | 1.0 | 0.55171 | 20079.9707  | 0.9702 | 0.00478857 | 
