| DSID |  Sample  | Total events | Sample Lumi [fb-1] | AMIXsec [pb] | BR  | FiltEff | Total higher order xsec [pb] | K-factor | Higher order xsec sample [pb] | 
| 361302 | mc15_13TeV.361302.Sherpa_CT10_Wenu_Pt0_70_BFilter | 6000000 | 4.69 | 21385.0  | 1.0 | 0.059786 | 20079.9707  | 0.9082 | 1161.20628355 | 
| 361305 | mc15_13TeV.361305.Sherpa_CT10_Wenu_Pt70_140_BFilter | 4389800 | 71.89 | 631.59  | 1.0 | 0.096681 | 20079.9707  | 0.9082 | 55.459634594 | 
| 361308 | mc15_13TeV.361308.Sherpa_CT10_Wenu_Pt140_280_BFilter | 4875900 | 481.81 | 90.129  | 1.0 | 0.112284 | 20079.9707  | 0.9082 | 9.19142934 | 
| 361311 | mc15_13TeV.361311.Sherpa_CT10_Wenu_Pt280_500_BFilter | 900000 | 1202.43 | 5.7139  | 1.0 | 0.130994 | 20079.9707  | 0.9991 | 0.747835433 | 
| 361314 | mc15_13TeV.361314.Sherpa_CT10_Wenu_Pt500_700_BFilter | 300000 | 5578.22 | 0.34646  | 1.0 | 0.155229 | 20079.9707  | 0.9991 | 0.05373385 | 
| 361317 | mc15_13TeV.361317.Sherpa_CT10_Wenu_Pt700_1000_BFilter | 100000 | 9462.74 | 0.062642  | 1.0 | 0.168701 | 20079.9707  | 0.9991 | 0.010558574 | 
| 361320 | mc15_13TeV.361320.Sherpa_CT10_Wenu_Pt1000_2000_BFilter | 30000 | 21654.53 | 0.0080036  | 1.0 | 0.173096 | 20079.9707  | 0.9991 | 0.001384186 | 
| 361323 | mc15_13TeV.361323.Sherpa_CT10_Wenu_Pt2000_E_CMS_BFilter | 10000 | 1940687.89 | 3.1194e-05  | 1.0 | 0.165186 | 20079.9707  | 0.9991 | 5.148e-06 | 
| 361326 | mc15_13TeV.361326.Sherpa_CT10_Wmunu_Pt0_70_BFilter | 8995500 | 7.05 | 21371.0  | 1.0 | 0.05971 | 20079.9707  | 0.9082 | 1158.97092326 | 
| 361329 | mc15_13TeV.361329.Sherpa_CT10_Wmunu_Pt70_140_BFilter | 4386500 | 71.7 | 632.79  | 1.0 | 0.096687 | 20079.9707  | 0.9082 | 55.568454407 | 
| 361332 | mc15_13TeV.361332.Sherpa_CT10_Wmunu_Pt140_280_BFilter | 4887750 | 481.47 | 90.204  | 1.0 | 0.112541 | 20079.9707  | 0.9082 | 9.22013311 | 
| 361335 | mc15_13TeV.361335.Sherpa_CT10_Wmunu_Pt280_500_BFilter | 900000 | 1201.83 | 5.7292  | 1.0 | 0.130709 | 20079.9707  | 0.9991 | 0.748206496 | 
| 361338 | mc15_13TeV.361338.Sherpa_CT10_Wmunu_Pt500_700_BFilter | 300000 | 5269.54 | 0.34814  | 1.0 | 0.163529 | 20079.9707  | 0.9991 | 0.056881456 | 
| 361341 | mc15_13TeV.361341.Sherpa_CT10_Wmunu_Pt700_1000_BFilter | 99950 | 10376.42 | 0.06015  | 1.0 | 0.16014 | 20079.9707  | 0.9991 | 0.009624041 | 
| 361344 | mc15_13TeV.361344.Sherpa_CT10_Wmunu_Pt1000_2000_BFilter | 30000 | 23917.69 | 0.0078579  | 1.0 | 0.159623 | 20079.9707  | 0.9991 | 0.00125321 | 
| 361347 | mc15_13TeV.361347.Sherpa_CT10_Wmunu_Pt2000_E_CMS_BFilter | 10000 | 1499297.04 | 3.4594e-05  | 1.0 | 0.192802 | 20079.9707  | 0.9991 | 6.664e-06 | 
| 361350 | mc15_13TeV.361350.Sherpa_CT10_Wtaunu_Pt0_70_BFilter | 8997000 | 7.05 | 21386.0  | 1.0 | 0.059683 | 20079.9707  | 0.9082 | 1159.25995066 | 
| 361353 | mc15_13TeV.361353.Sherpa_CT10_Wtaunu_Pt70_140_BFilter | 4387700 | 72.41 | 633.0  | 1.0 | 0.095733 | 20079.9707  | 0.9082 | 55.038425769 | 
| 361356 | mc15_13TeV.361356.Sherpa_CT10_Wtaunu_Pt140_280_BFilter | 4875000 | 478.16 | 90.169  | 1.0 | 0.11307 | 20079.9707  | 0.9082 | 9.259878116 | 
| 361359 | mc15_13TeV.361359.Sherpa_CT10_Wtaunu_Pt280_500_BFilter | 900000 | 1181.05 | 5.7491  | 1.0 | 0.132548 | 20079.9707  | 0.9991 | 0.761368739 | 
| 361362 | mc15_13TeV.361362.Sherpa_CT10_Wtaunu_Pt500_700_BFilter | 300000 | 5427.0 | 0.34668  | 1.0 | 0.159453 | 20079.9707  | 0.9991 | 0.055231073 | 
| 361365 | mc15_13TeV.361365.Sherpa_CT10_Wtaunu_Pt700_1000_BFilter | 100000 | 10593.89 | 0.060693  | 1.0 | 0.155527 | 20079.9707  | 0.9991 | 0.009431188 | 
| 361368 | mc15_13TeV.361368.Sherpa_CT10_Wtaunu_Pt1000_2000_BFilter | 29980 | 21235.0 | 0.0080228  | 1.0 | 0.175976 | 20079.9707  | 0.9991 | 0.001410592 | 
| 361371 | mc15_13TeV.361371.Sherpa_CT10_Wtaunu_Pt2000_E_CMS_BFilter | 10000 | 1595282.23 | 3.1977e-05  | 1.0 | 0.196031 | 20079.9707  | 0.9991 | 6.263e-06 | 
