| DSID |  Sample  | Total events | Sample Lumi [fb-1] | AMIXsec [pb] | BR  | FiltEff | Total higher order xsec [pb] | K-factor | Higher order xsec sample [pb] | 
| 361301 | mc15_13TeV.361301.Sherpa_CT10_Wenu_Pt0_70_CFilterBVeto | 5999500 | 5.69 | 21381.0  | 1.0 | 0.04929 | 20079.9707  | 0.9082 | 957.166425598 | 
| 361304 | mc15_13TeV.361304.Sherpa_CT10_Wenu_Pt70_140_CFilterBVeto | 4497800 | 40.23 | 632.29  | 1.0 | 0.176811 | 20079.9707  | 0.9082 | 101.537442087 | 
| 361307 | mc15_13TeV.361307.Sherpa_CT10_Wenu_Pt140_280_CFilterBVeto | 4398900 | 237.27 | 90.039  | 1.0 | 0.205907 | 20079.9707  | 0.9082 | 16.838461137 | 
| 361310 | mc15_13TeV.361310.Sherpa_CT10_Wenu_Pt280_500_CFilterBVeto | 900000 | 705.22 | 5.7609  | 1.0 | 0.221526 | 20079.9707  | 0.9991 | 1.275078849 | 
| 361313 | mc15_13TeV.361313.Sherpa_CT10_Wenu_Pt500_700_CFilterBVeto | 300000 | 3582.16 | 0.34385  | 1.0 | 0.243561 | 20079.9707  | 0.9991 | 0.083675589 | 
| 361316 | mc15_13TeV.361316.Sherpa_CT10_Wenu_Pt700_1000_CFilterBVeto | 100000 | 8105.04 | 0.060838  | 1.0 | 0.202801 | 20079.9707  | 0.9991 | 0.012327273 | 
| 361319 | mc15_13TeV.361319.Sherpa_CT10_Wenu_Pt1000_2000_CFilterBVeto | 30000 | 15524.42 | 0.0081198  | 1.0 | 0.237991 | 20079.9707  | 0.9991 | 0.001930758 | 
| 361322 | mc15_13TeV.361322.Sherpa_CT10_Wenu_Pt2000_E_CMS_CFilterBVeto | 10000 | 1178078.44 | 3.1118e-05  | 1.0 | 0.272781 | 20079.9707  | 0.9991 | 8.481e-06 | 
| 361325 | mc15_13TeV.361325.Sherpa_CT10_Wmunu_Pt0_70_CFilterBVeto | 8999500 | 8.89 | 21380.0  | 1.0 | 0.04737 | 20079.9707  | 0.9082 | 919.838769744 | 
| 361328 | mc15_13TeV.361328.Sherpa_CT10_Wmunu_Pt70_140_CFilterBVeto | 4496100 | 40.61 | 632.54  | 1.0 | 0.175047 | 20079.9707  | 0.9082 | 100.564174092 | 
| 361331 | mc15_13TeV.361331.Sherpa_CT10_Wmunu_Pt140_280_CFilterBVeto | 4308200 | 235.01 | 90.077  | 1.0 | 0.203512 | 20079.9707  | 0.9082 | 16.649629005 | 
| 361334 | mc15_13TeV.361334.Sherpa_CT10_Wmunu_Pt280_500_CFilterBVeto | 900000 | 704.18 | 5.7437  | 1.0 | 0.22252 | 20079.9707  | 0.9991 | 1.276976187 | 
| 361337 | mc15_13TeV.361337.Sherpa_CT10_Wmunu_Pt500_700_CFilterBVeto | 300000 | 3619.31 | 0.3456  | 1.0 | 0.23984 | 20079.9707  | 0.9991 | 0.082816591 | 
| 361340 | mc15_13TeV.361340.Sherpa_CT10_Wmunu_Pt700_1000_CFilterBVeto | 100000 | 7124.51 | 0.061643  | 1.0 | 0.227699 | 20079.9707  | 0.9991 | 0.014023838 | 
| 361343 | mc15_13TeV.361343.Sherpa_CT10_Wmunu_Pt1000_2000_CFilterBVeto | 30000 | 16036.06 | 0.0079128  | 1.0 | 0.236425 | 20079.9707  | 0.9991 | 0.001869156 | 
| 361346 | mc15_13TeV.361346.Sherpa_CT10_Wmunu_Pt2000_E_CMS_CFilterBVeto | 9000 | 1056434.15 | 3.1798e-05  | 1.0 | 0.267917 | 20079.9707  | 0.9991 | 8.512e-06 | 
| 361349 | mc15_13TeV.361349.Sherpa_CT10_Wtaunu_Pt0_70_CFilterBVeto | 9000000 | 8.64 | 21378.0  | 1.0 | 0.048706 | 20079.9707  | 0.9082 | 945.692972992 | 
| 361352 | mc15_13TeV.361352.Sherpa_CT10_Wtaunu_Pt70_140_CFilterBVeto | 4499900 | 40.26 | 634.01  | 1.0 | 0.176273 | 20079.9707  | 0.9082 | 101.503853138 | 
| 361355 | mc15_13TeV.361355.Sherpa_CT10_Wtaunu_Pt140_280_CFilterBVeto | 4397500 | 237.81 | 90.209  | 1.0 | 0.204983 | 20079.9707  | 0.9082 | 16.794548709 | 
| 361358 | mc15_13TeV.361358.Sherpa_CT10_Wtaunu_Pt280_500_CFilterBVeto | 900000 | 711.03 | 5.7831  | 1.0 | 0.218875 | 20079.9707  | 0.9991 | 1.264674787 | 
| 361361 | mc15_13TeV.361361.Sherpa_CT10_Wtaunu_Pt500_700_CFilterBVeto | 300000 | 3678.86 | 0.35372  | 1.0 | 0.230541 | 20079.9707  | 0.9991 | 0.081476017 | 
| 361364 | mc15_13TeV.361364.Sherpa_CT10_Wtaunu_Pt700_1000_CFilterBVeto | 100000 | 7512.33 | 0.060497  | 1.0 | 0.220035 | 20079.9707  | 0.9991 | 0.013299876 | 
| 361367 | mc15_13TeV.361367.Sherpa_CT10_Wtaunu_Pt1000_2000_CFilterBVeto | 30000 | 15978.47 | 0.0078888  | 1.0 | 0.237999 | 20079.9707  | 0.9991 | 0.001875893 | 
| 361370 | mc15_13TeV.361370.Sherpa_CT10_Wtaunu_Pt2000_E_CMS_CFilterBVeto | 10000 | 1354108.04 | 3.0482e-05  | 1.0 | 0.242272 | 20079.9707  | 0.9991 | 7.379e-06 | 
