| DSID |  Sample  | Total events | Sample Lumi [fb-1] | AMIXsec [pb] | BR  | FiltEff | Total higher order xsec [pb] | K-factor | Higher order xsec sample [pb] | 
| 361300 | mc15_13TeV.361300.Sherpa_CT10_Wenu_Pt0_70_CVetoBVeto | 20000000 | 1.06 | 21283.0  | 1.0 | 0.890724 | 20079.9707  | 0.9082 | 17217.7589809 | 
| 361303 | mc15_13TeV.361303.Sherpa_CT10_Wenu_Pt70_140_CVetoBVeto | 3980500 | 8.62 | 633.67  | 1.0 | 0.728829 | 20079.9707  | 0.9082 | 419.458902664 | 
| 361306 | mc15_13TeV.361306.Sherpa_CT10_Wenu_Pt140_280_CVetoBVeto | 4353500 | 70.85 | 90.163  | 1.0 | 0.681554 | 20079.9707  | 0.9082 | 55.812213827 | 
| 361309 | mc15_13TeV.361309.Sherpa_CT10_Wenu_Pt280_500_CVetoBVeto | 1000000 | 265.93 | 5.761  | 1.0 | 0.652724 | 20079.9707  | 0.9991 | 3.757071466 | 
| 361312 | mc15_13TeV.361312.Sherpa_CT10_Wenu_Pt500_700_CVetoBVeto | 500000 | 2224.37 | 0.35581  | 1.0 | 0.631749 | 20079.9707  | 0.9991 | 0.224587051 | 
| 361315 | mc15_13TeV.361315.Sherpa_CT10_Wenu_Pt700_1000_CVetoBVeto | 200000 | 5419.29 | 0.060538  | 1.0 | 0.60962 | 20079.9707  | 0.9991 | 0.036873068 | 
| 361318 | mc15_13TeV.361318.Sherpa_CT10_Wenu_Pt1000_2000_CVetoBVeto | 50000 | 10031.98 | 0.0079207  | 1.0 | 0.629245 | 20079.9707  | 0.9991 | 0.004979725 | 
| 361321 | mc15_13TeV.361321.Sherpa_CT10_Wenu_Pt2000_E_CMS_CVetoBVeto | 20000 | 1015933.48 | 3.0835e-05  | 1.0 | 0.638441 | 20079.9707  | 0.9991 | 1.9669e-05 | 
| 361324 | mc15_13TeV.361324.Sherpa_CT10_Wmunu_Pt0_70_CVetoBVeto | 19935000 | 1.04 | 21392.0  | 1.0 | 0.89251 | 20079.9707  | 0.9082 | 17340.6393371 | 
| 361327 | mc15_13TeV.361327.Sherpa_CT10_Wmunu_Pt70_140_CVetoBVeto | 3995000 | 8.65 | 634.1  | 1.0 | 0.728418 | 20079.9707  | 0.9082 | 419.506840815 | 
| 361330 | mc15_13TeV.361330.Sherpa_CT10_Wmunu_Pt140_280_CVetoBVeto | 3911000 | 63.61 | 89.868  | 1.0 | 0.68415 | 20079.9707  | 0.9082 | 55.841494484 | 
| 361333 | mc15_13TeV.361333.Sherpa_CT10_Wmunu_Pt280_500_CVetoBVeto | 1000000 | 264.64 | 5.7812  | 1.0 | 0.653631 | 20079.9707  | 0.9991 | 3.775484006 | 
| 361336 | mc15_13TeV.361336.Sherpa_CT10_Wmunu_Pt500_700_CVetoBVeto | 500000 | 2244.22 | 0.35302  | 1.0 | 0.631109 | 20079.9707  | 0.9991 | 0.222600268 | 
| 361339 | mc15_13TeV.361339.Sherpa_CT10_Wmunu_Pt700_1000_CVetoBVeto | 200000 | 5140.64 | 0.061501  | 1.0 | 0.632602 | 20079.9707  | 0.9991 | 0.038871808 | 
| 361342 | mc15_13TeV.361342.Sherpa_CT10_Wmunu_Pt1000_2000_CVetoBVeto | 50000 | 10583.61 | 0.0079016  | 1.0 | 0.59789 | 20079.9707  | 0.9991 | 0.004720177 | 
| 361345 | mc15_13TeV.361345.Sherpa_CT10_Wmunu_Pt2000_E_CMS_CVetoBVeto | 20000 | 1046637.9 | 3.0924e-05  | 1.0 | 0.617928 | 20079.9707  | 0.9991 | 1.9092e-05 | 
| 361348 | mc15_13TeV.361348.Sherpa_CT10_Wtaunu_Pt0_70_CVetoBVeto | 20000000 | 1.05 | 21386.0  | 1.0 | 0.891411 | 20079.9707  | 0.9082 | 17314.4290983 | 
| 361351 | mc15_13TeV.361351.Sherpa_CT10_Wtaunu_Pt70_140_CVetoBVeto | 4000000 | 8.67 | 635.56  | 1.0 | 0.726079 | 20079.9707  | 0.9082 | 419.122578495 | 
| 361354 | mc15_13TeV.361354.Sherpa_CT10_Wtaunu_Pt140_280_CVetoBVeto | 4400000 | 71.47 | 90.013  | 1.0 | 0.683964 | 20079.9707  | 0.9082 | 55.916387347 | 
| 361357 | mc15_13TeV.361357.Sherpa_CT10_Wtaunu_Pt280_500_CVetoBVeto | 1000000 | 266.62 | 5.7931  | 1.0 | 0.647441 | 20079.9707  | 0.9991 | 3.747427356 | 
| 361360 | mc15_13TeV.361360.Sherpa_CT10_Wtaunu_Pt500_700_CVetoBVeto | 500000 | 2303.93 | 0.3451  | 1.0 | 0.628862 | 20079.9707  | 0.9991 | 0.216831469 | 
| 361363 | mc15_13TeV.361363.Sherpa_CT10_Wtaunu_Pt700_1000_CVetoBVeto | 200000 | 5237.57 | 0.060864  | 1.0 | 0.627393 | 20079.9707  | 0.9991 | 0.038152426 | 
| 361366 | mc15_13TeV.361366.Sherpa_CT10_Wtaunu_Pt1000_2000_CVetoBVeto | 50000 | 10382.41 | 0.0079324  | 1.0 | 0.60711 | 20079.9707  | 0.9991 | 0.00481165 | 
| 361369 | mc15_13TeV.361369.Sherpa_CT10_Wtaunu_Pt2000_E_CMS_CVetoBVeto | 20000 | 1098508.21 | 3.3382e-05  | 1.0 | 0.545399 | 20079.9707  | 0.9991 | 1.8191e-05 | 
