| DSID |  Sample  | Total events | Sample Lumi [fb-1] | AMIXsec [pb] | BR  | FiltEff | Total higher order xsec [pb] | K-factor | Higher order xsec sample [pb] | 
| 361700 | mc15_13TeV.361700.AlpgenPythiaEvtGen_P2012_ZeeNp0 | 8000000 | 6.23 | 1283.9  | 1.0 | 1.0 | 1979.0  | 1.187 | 1523.9893 | 
| 361701 | mc15_13TeV.361701.AlpgenPythiaEvtGen_P2012_ZeeNp1 | 7995000 | 28.84 | 277.24  | 1.0 | 1.0 | Undefined  | 1.0 | 277.24 | 
| 361702 | mc15_13TeV.361702.AlpgenPythiaEvtGen_P2012_ZeeNp2 | 5000000 | 65.96 | 75.799  | 1.0 | 1.0 | 1979.0  | 1.187 | 89.973413 | 
| 361703 | mc15_13TeV.361703.AlpgenPythiaEvtGen_P2012_ZeeNp3 | 2000000 | 92.7 | 21.576  | 1.0 | 1.0 | 1979.0  | 1.187 | 25.610712 | 
| 361704 | mc15_13TeV.361704.AlpgenPythiaEvtGen_P2012_ZeeNp4 | 1000000 | 162.49 | 6.1543  | 1.0 | 1.0 | 1979.0  | 1.187 | 7.3051541 | 
| 361705 | mc15_13TeV.361705.AlpgenPythiaEvtGen_P2012_ZeeNp5 | 500000 | 200.61 | 2.4924  | 1.0 | 1.0 | 1979.0  | 1.187 | 2.9584788 | 
| 361710 | mc15_13TeV.361710.AlpgenPythiaEvtGen_P2012_ZmumuNp0 | 8000000 | 6.23 | 1284.2  | 1.0 | 1.0 | 1979.0  | 1.187 | 1524.3454 | 
| 361711 | mc15_13TeV.361711.AlpgenPythiaEvtGen_P2012_ZmumuNp1 | 8000000 | 28.85 | 277.3  | 1.0 | 1.0 | 1979.0  | 1.187 | 329.1551 | 
| 361712 | mc15_13TeV.361712.AlpgenPythiaEvtGen_P2012_ZmumuNp2 | 5000000 | 65.97 | 75.788  | 1.0 | 1.0 | 1979.0  | 1.187 | 89.960356 | 
| 361713 | mc15_13TeV.361713.AlpgenPythiaEvtGen_P2012_ZmumuNp3 | 1995000 | 92.52 | 21.562  | 1.0 | 1.0 | 1979.0  | 1.187 | 25.594094 | 
| 361714 | mc15_13TeV.361714.AlpgenPythiaEvtGen_P2012_ZmumuNp4 | 1000000 | 162.28 | 6.1623  | 1.0 | 1.0 | 1979.0  | 1.187 | 7.3146501 | 
| 361715 | mc15_13TeV.361715.AlpgenPythiaEvtGen_P2012_ZmumuNp5 | 500000 | 202.68 | 2.4669  | 1.0 | 1.0 | 1979.0  | 1.187 | 2.9282103 | 
| 361720 | mc15_13TeV.361720.AlpgenPythiaEvtGen_P2012_ZtautauNp0 | 8000000 | 6.23 | 1284.0  | 1.0 | 1.0 | 1979.0  | 1.187 | 1524.108 | 
| 361721 | mc15_13TeV.361721.AlpgenPythiaEvtGen_P2012_ZtautauNp1 | 8000000 | 28.85 | 277.28  | 1.0 | 1.0 | 1979.0  | 1.187 | 329.13136 | 
| 361722 | mc15_13TeV.361722.AlpgenPythiaEvtGen_P2012_ZtautauNp2 | 5000000 | 65.95 | 75.815  | 1.0 | 1.0 | 1979.0  | 1.187 | 89.992405 | 
| 361723 | mc15_13TeV.361723.AlpgenPythiaEvtGen_P2012_ZtautauNp3 | 2000000 | 92.89 | 21.531  | 1.0 | 1.0 | 1979.0  | 1.187 | 25.557297 | 
| 361724 | mc15_13TeV.361724.AlpgenPythiaEvtGen_P2012_ZtautauNp4 | 1000000 | 162.36 | 6.1591  | 1.0 | 1.0 | 1979.0  | 1.187 | 7.3108517 | 
| 361725 | mc15_13TeV.361725.AlpgenPythiaEvtGen_P2012_ZtautauNp5 | 500000 | 203.6 | 2.4558  | 1.0 | 1.0 | 1979.0  | 1.187 | 2.9150346 | 
| 361730 | mc15_13TeV.361730.AlpgenPythiaEvtGen_P2012_ZeebbNp0 | 1100000 | 66.07 | 16.65  | 1.0 | 1.0 | Undefined  | 1.0 | 16.65 | 
| 361731 | mc15_13TeV.361731.AlpgenPythiaEvtGen_P2012_ZeebbNp1 | 500000 | 65.45 | 7.6399  | 1.0 | 1.0 | Undefined  | 1.0 | 7.6399 | 
| 361732 | mc15_13TeV.361732.AlpgenPythiaEvtGen_P2012_ZeebbNp2 | 210000 | 68.56 | 3.0629  | 1.0 | 1.0 | Undefined  | 1.0 | 3.0629 | 
| 361733 | mc15_13TeV.361733.AlpgenPythiaEvtGen_P2012_ZeebbNp3Incl | 95000 | 53.13 | 1.7879  | 1.0 | 1.0 | Undefined  | 1.0 | 1.7879 | 
| 361735 | mc15_13TeV.361735.AlpgenPythiaEvtGen_P2012_ZeeccNp0 | 595000 | 0.94 | 633.54  | 1.0 | 1.0 | Undefined  | 1.0 | 633.54 | 
| 361736 | mc15_13TeV.361736.AlpgenPythiaEvtGen_P2012_ZeeccNp1 | 400000 | 13.95 | 28.672  | 1.0 | 1.0 | Undefined  | 1.0 | 28.672 | 
| 361737 | mc15_13TeV.361737.AlpgenPythiaEvtGen_P2012_ZeeccNp2 | 195000 | 24.12 | 8.0836  | 1.0 | 1.0 | Undefined  | 1.0 | 8.0836 | 
| 361738 | mc15_13TeV.361738.AlpgenPythiaEvtGen_P2012_ZeeccNp3Incl | 80000 | 17.11 | 4.6769  | 1.0 | 1.0 | Undefined  | 1.0 | 4.6769 | 
| 361740 | mc15_13TeV.361740.AlpgenPythiaEvtGen_P2012_ZmumubbNp0 | 1100000 | 66.17 | 16.625  | 1.0 | 1.0 | Undefined  | 1.0 | 16.625 | 
| 361741 | mc15_13TeV.361741.AlpgenPythiaEvtGen_P2012_ZmumubbNp1 | 500000 | 65.48 | 7.6356  | 1.0 | 1.0 | Undefined  | 1.0 | 7.6356 | 
| 361742 | mc15_13TeV.361742.AlpgenPythiaEvtGen_P2012_ZmumubbNp2 | 205000 | 66.89 | 3.0646  | 1.0 | 1.0 | Undefined  | 1.0 | 3.0646 | 
| 361743 | mc15_13TeV.361743.AlpgenPythiaEvtGen_P2012_ZmumubbNp3Incl | 95000 | 52.82 | 1.7986  | 1.0 | 1.0 | Undefined  | 1.0 | 1.7986 | 
| 361745 | mc15_13TeV.361745.AlpgenPythiaEvtGen_P2012_ZmumuccNp0 | 595000 | 9.53 | 62.424  | 1.0 | 1.0 | Undefined  | 1.0 | 62.424 | 
| 361746 | mc15_13TeV.361746.AlpgenPythiaEvtGen_P2012_ZmumuccNp1 | 400000 | 13.95 | 28.675  | 1.0 | 1.0 | Undefined  | 1.0 | 28.675 | 
| 361747 | mc15_13TeV.361747.AlpgenPythiaEvtGen_P2012_ZmumuccNp2 | 195000 | 24.08 | 8.0972  | 1.0 | 1.0 | Undefined  | 1.0 | 8.0972 | 
| 361748 | mc15_13TeV.361748.AlpgenPythiaEvtGen_P2012_ZmumuccNp3Incl | 80000 | 17.1 | 4.6782  | 1.0 | 1.0 | Undefined  | 1.0 | 4.6782 | 
| 361750 | mc15_13TeV.361750.AlpgenPythiaEvtGen_P2012_ZtautaubbNp0 | 1100000 | 66.13 | 16.633  | 1.0 | 1.0 | Undefined  | 1.0 | 16.633 | 
| 361751 | mc15_13TeV.361751.AlpgenPythiaEvtGen_P2012_ZtautaubbNp1 | 500000 | 65.48 | 7.6356  | 1.0 | 1.0 | Undefined  | 1.0 | 7.6356 | 
| 361752 | mc15_13TeV.361752.AlpgenPythiaEvtGen_P2012_ZtautaubbNp2 | 210000 | 68.39 | 3.0705  | 1.0 | 1.0 | Undefined  | 1.0 | 3.0705 | 
| 361753 | mc15_13TeV.361753.AlpgenPythiaEvtGen_P2012_ZtautaubbNp3Incl | 100000 | 55.75 | 1.7937  | 1.0 | 1.0 | Undefined  | 1.0 | 1.7937 | 
| 361755 | mc15_13TeV.361755.AlpgenPythiaEvtGen_P2012_ZtautauccNp0 | 595000 | 9.53 | 62.452  | 1.0 | 1.0 | Undefined  | 1.0 | 62.452 | 
| 361756 | mc15_13TeV.361756.AlpgenPythiaEvtGen_P2012_ZtautauccNp1 | 400000 | 13.97 | 28.642  | 1.0 | 1.0 | Undefined  | 1.0 | 28.642 | 
| 361757 | mc15_13TeV.361757.AlpgenPythiaEvtGen_P2012_ZtautauccNp2 | 195000 | 24.08 | 8.0984  | 1.0 | 1.0 | Undefined  | 1.0 | 8.0984 | 
| 361758 | mc15_13TeV.361758.AlpgenPythiaEvtGen_P2012_ZtautauccNp3Incl | 80000 | 17.22 | 4.6471  | 1.0 | 1.0 | Undefined  | 1.0 | 4.6471 | 
