| DSID |  Sample  | Total events | Sample Lumi [fb-1] | AMIXsec [pb] | BR  | FiltEff | Total higher order xsec [pb] | K-factor | Higher order xsec sample [pb] | 
| 342195 | mc15_13TeV.342195.MadGraphPythia8EvtGen_A14NNPDF23_QCDZbbjj_Incl | 1500000 | 3.56 | 666.52  | 1.0 | 0.63217 | Undefined  | 1.0 | 421.3539484 | 
| 342196 | mc15_13TeV.342196.MadGraphPythia8EvtGen_A14NNPDF23_EWKZbbjj_Incl | 1500000 | 452.8 | 4.8598  | 1.0 | 0.68166 | Undefined  | 1.0 | 3.312731268 | 
| 343982 | mc15_13TeV.343982.MadGraphPythia8EvtGen_A14NNPDF23_Zmumu_Np0_mVBFfilt | 285000 | 78.06 | 773.89  | 1.0 | 0.004718 | Undefined  | 1.0 | 3.650826075 | 
| 343983 | mc15_13TeV.343983.MadGraphPythia8EvtGen_A14NNPDF23_Zmumu_Np1_mVBFfilt | 1000000 | 247.97 | 119.75  | 1.0 | 0.033677 | Undefined  | 1.0 | 4.03282075 | 
| 343984 | mc15_13TeV.343984.MadGraphPythia8EvtGen_A14NNPDF23_Zmumu_Np2_mVBFfilt | 2000000 | 335.22 | 39.796  | 1.0 | 0.14992 | Undefined  | 1.0 | 5.96621632 | 
| 343985 | mc15_13TeV.343985.MadGraphPythia8EvtGen_A14NNPDF23_Zmumu_Np3_mVBFfilt | 1000000 | 271.49 | 11.638  | 1.0 | 0.3165 | Undefined  | 1.0 | 3.683427 | 
| 343986 | mc15_13TeV.343986.MadGraphPythia8EvtGen_A14NNPDF23_Zmumu_Np4_mVBFfilt | 600000 | 228.58 | 5.0322  | 1.0 | 0.52162 | Undefined  | 1.0 | 2.624896164 | 
| 361500 | mc15_13TeV.361500.MadGraphPythia8EvtGen_A14NNPDF23LO_Zee_Np0 | 6890000 | 4.92 | 1401.6  | 1.0 | 1.0 | 2102.86  | 1.232 | 1726.7712 | 
| 361501 | mc15_13TeV.361501.MadGraphPythia8EvtGen_A14NNPDF23LO_Zee_Np1 | 3600000 | 16.98 | 211.99  | 1.0 | 1.0 | 2102.86  | 1.232 | 261.17168 | 
| 361502 | mc15_13TeV.361502.MadGraphPythia8EvtGen_A14NNPDF23LO_Zee_Np2 | 2550000 | 37.89 | 67.305  | 1.0 | 1.0 | 2102.86  | 1.232 | 82.91976 | 
| 361503 | mc15_13TeV.361503.MadGraphPythia8EvtGen_A14NNPDF23LO_Zee_Np3 | 635000 | 34.0 | 18.679  | 1.0 | 1.0 | 2102.86  | 1.232 | 23.012528 | 
| 361504 | mc15_13TeV.361504.MadGraphPythia8EvtGen_A14NNPDF23LO_Zee_Np4 | 225000 | 30.86 | 7.291  | 1.0 | 1.0 | 2102.86  | 1.232 | 8.982512 | 
| 361505 | mc15_13TeV.361505.MadGraphPythia8EvtGen_A14NNPDF23LO_Zmumu_Np0 | 6890000 | 4.91 | 1402.0  | 1.0 | 1.0 | 2102.86  | 1.232 | 1727.264 | 
| 361506 | mc15_13TeV.361506.MadGraphPythia8EvtGen_A14NNPDF23LO_Zmumu_Np1 | 3600000 | 16.99 | 211.95  | 1.0 | 1.0 | 2102.86  | 1.232 | 261.1224 | 
| 361507 | mc15_13TeV.361507.MadGraphPythia8EvtGen_A14NNPDF23LO_Zmumu_Np2 | 2550000 | 37.86 | 67.353  | 1.0 | 1.0 | 2102.86  | 1.232 | 82.978896 | 
| 361508 | mc15_13TeV.361508.MadGraphPythia8EvtGen_A14NNPDF23LO_Zmumu_Np3 | 635000 | 34.08 | 18.633  | 1.0 | 1.0 | 2102.86  | 1.232 | 22.955856 | 
| 361509 | mc15_13TeV.361509.MadGraphPythia8EvtGen_A14NNPDF23LO_Zmumu_Np4 | 225000 | 30.82 | 7.3013  | 1.0 | 1.0 | 2102.86  | 1.232 | 8.9952016 | 
| 361510 | mc15_13TeV.361510.MadGraphPythia8EvtGen_A14NNPDF23LO_Ztautau_Np0 | 6890000 | 4.93 | 1397.8  | 1.0 | 1.0 | 2102.86  | 1.232 | 1722.0896 | 
| 361511 | mc15_13TeV.361511.MadGraphPythia8EvtGen_A14NNPDF23LO_Ztautau_Np1 | 3600000 | 17.03 | 211.4  | 1.0 | 1.0 | 2102.86  | 1.232 | 260.4448 | 
| 361512 | mc15_13TeV.361512.MadGraphPythia8EvtGen_A14NNPDF23LO_Ztautau_Np2 | 2550000 | 37.96 | 67.176  | 1.0 | 1.0 | 2102.86  | 1.232 | 82.760832 | 
| 361513 | mc15_13TeV.361513.MadGraphPythia8EvtGen_A14NNPDF23LO_Ztautau_Np3 | 635000 | 34.12 | 18.609  | 1.0 | 1.0 | 2102.86  | 1.232 | 22.926288 | 
| 361514 | mc15_13TeV.361514.MadGraphPythia8EvtGen_A14NNPDF23LO_Ztautau_Np4 | 225000 | 30.93 | 7.2749  | 1.0 | 1.0 | 2102.86  | 1.232 | 8.9626768 | 
