| DSID |  Sample  | Total events | Sample Lumi [fb-1] | AMIXsec [pb] | BR  | FiltEff | Total higher order xsec [pb] | K-factor | Higher order xsec sample [pb] | 
| 301000 | mc15_13TeV.301000.PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYee_120M180 | 500000 | 28.61 | 17.478  | 1.0 | 1.0 | Undefined  | 1.0 | 17.478 | 
| 301001 | mc15_13TeV.301001.PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYee_180M250 | 250000 | 85.58 | 2.9212  | 1.0 | 1.0 | Undefined  | 1.0 | 2.9212 | 
| 301002 | mc15_13TeV.301002.PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYee_250M400 | 150000 | 138.63 | 1.082  | 1.0 | 1.0 | Undefined  | 1.0 | 1.082 | 
| 301003 | mc15_13TeV.301003.PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYee_400M600 | 100000 | 511.51 | 0.1955  | 1.0 | 1.0 | Undefined  | 1.0 | 0.1955 | 
| 301004 | mc15_13TeV.301004.PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYee_600M800 | 145000 | 3876.9 | 0.037401  | 1.0 | 1.0 | Undefined  | 1.0 | 0.037401 | 
| 301005 | mc15_13TeV.301005.PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYee_800M1000 | 50000 | 4713.87 | 0.010607  | 1.0 | 1.0 | Undefined  | 1.0 | 0.010607 | 
| 301006 | mc15_13TeV.301006.PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYee_1000M1250 | 50000 | 11742.05 | 0.0042582  | 1.0 | 1.0 | Undefined  | 1.0 | 0.0042582 | 
| 301007 | mc15_13TeV.301007.PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYee_1250M1500 | 50000 | 35164.22 | 0.0014219  | 1.0 | 1.0 | Undefined  | 1.0 | 0.0014219 | 
| 301008 | mc15_13TeV.301008.PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYee_1500M1750 | 50000 | 91707.78 | 0.00054521  | 1.0 | 1.0 | Undefined  | 1.0 | 0.00054521 | 
| 301009 | mc15_13TeV.301009.PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYee_1750M2000 | 100000 | 434933.89 | 0.00022992  | 1.0 | 1.0 | Undefined  | 1.0 | 0.00022992 | 
