| DSID |  Sample  | Total events | Sample Lumi [fb-1] | AMIXsec [pb] | BR  | FiltEff | Total higher order xsec [pb] | K-factor | Higher order xsec sample [pb] | 
| 363104 | mc15_13TeV.363104.Sherpa_NNPDF30NNLO_Ztautau_Pt70_140_BFilter | 1100000 | 121.44 | 71.679  | 1.0 | 0.12637 | 2107.0  | 0.9751 | 8.832529157 | 
| 363107 | mc15_13TeV.363107.Sherpa_NNPDF30NNLO_Ztautau_Pt140_280_BFilter | 996000 | 624.4 | 11.078  | 1.0 | 0.14399 | 2107.0  | 0.9751 | 1.555402702 | 
| 363110 | mc15_13TeV.363110.Sherpa_NNPDF30NNLO_Ztautau_Pt280_500_BFilter | 300000 | 2352.96 | 0.83458  | 1.0 | 0.15277 | 2107.0  | 0.9751 | 0.124324067 | 
| 363113 | mc15_13TeV.363113.Sherpa_NNPDF30NNLO_Ztautau_Pt500_700_BFilter | 200000 | 23890.26 | 0.052708  | 1.0 | 0.15883 | 2107.0  | 0.9751 | 0.008163159 | 
| 363116 | mc15_13TeV.363116.Sherpa_NNPDF30NNLO_Ztautau_Pt700_1000_BFilter | 28400 | 18788.1 | 0.0095039  | 1.0 | 0.15905 | 2107.0  | 0.9751 | 0.001473957 | 
| 363119 | mc15_13TeV.363119.Sherpa_NNPDF30NNLO_Ztautau_Pt1000_2000_BFilter | 19300 | 129943.41 | 0.0012661  | 1.0 | 0.11731 | 2107.0  | 0.9751 | 0.000144828 | 
| 363363 | mc15_13TeV.363363.Sherpa_NNPDF30NNLO_Ztautau_Pt0_70_BFilter | 2000000 | 13.88 | 2078.8  | 1.0 | 0.069319 | 2107.0  | 0.9751 | 140.512238804 | 
| 363366 | mc15_13TeV.363366.Sherpa_NNPDF30NNLO_Zmumu_Pt0_70_BFilter | 2000000 | 13.68 | 2077.6  | 1.0 | 0.070383 | 2107.0  | 0.9751 | 142.586650552 | 
| 363369 | mc15_13TeV.363369.Sherpa_NNPDF30NNLO_Zmumu_Pt70_140_BFilter | 1077500 | 117.99 | 71.574  | 1.0 | 0.12759 | 2107.0  | 0.9751 | 8.904736706 | 
| 363372 | mc15_13TeV.363372.Sherpa_NNPDF30NNLO_Zmumu_Pt140_280_BFilter | 1000000 | 625.87 | 11.078  | 1.0 | 0.14423 | 2107.0  | 0.9751 | 1.557995219 | 
| 363375 | mc15_13TeV.363375.Sherpa_NNPDF30NNLO_Zmumu_Pt280_500_BFilter | 300000 | 2367.4 | 0.83216  | 1.0 | 0.15228 | 2107.0  | 0.9751 | 0.123565964 | 
| 363378 | mc15_13TeV.363378.Sherpa_NNPDF30NNLO_Zmumu_Pt500_700_BFilter | 200000 | 25476.88 | 0.053414  | 1.0 | 0.14697 | 2107.0  | 0.9751 | 0.007654784 | 
| 363381 | mc15_13TeV.363381.Sherpa_NNPDF30NNLO_Zmumu_Pt700_1000_BFilter | 30000 | 19563.23 | 0.0095915  | 1.0 | 0.15988 | 2107.0  | 0.9751 | 0.001495305 | 
| 363384 | mc15_13TeV.363384.Sherpa_NNPDF30NNLO_Zmumu_Pt1000_2000_BFilter | 20000 | 105595.7 | 0.0012306  | 1.0 | 0.15391 | 2107.0  | 0.9751 | 0.000184686 | 
| 363387 | mc15_13TeV.363387.Sherpa_NNPDF30NNLO_Zmumu_Pt2000_E_CMS_BFilter | 10000 | 14566075.15 | 4.7171e-06  | 1.0 | 0.14554 | 2107.0  | 0.9751 | 6.69e-07 | 
