| DSID |  Sample  | Total events | Sample Lumi [fb-1] | AMIXsec [pb] | BR  | FiltEff | Total higher order xsec [pb] | K-factor | Higher order xsec sample [pb] | 
| 363103 | mc15_13TeV.363103.Sherpa_NNPDF30NNLO_Ztautau_Pt70_140_CFilterBVeto | 500000 | 34.76 | 71.653  | 1.0 | 0.20076 | 2107.0  | 0.9751 | 14.026868379 | 
| 363106 | mc15_13TeV.363106.Sherpa_NNPDF30NNLO_Ztautau_Pt140_280_CFilterBVeto | 493000 | 199.22 | 11.069  | 1.0 | 0.22357 | 2107.0  | 0.9751 | 2.413076391 | 
| 363109 | mc15_13TeV.363109.Sherpa_NNPDF30NNLO_Ztautau_Pt280_500_CFilterBVeto | 300000 | 1486.19 | 0.82916  | 1.0 | 0.24345 | 2107.0  | 0.9751 | 0.196832713 | 
| 363112 | mc15_13TeV.363112.Sherpa_NNPDF30NNLO_Ztautau_Pt500_700_CFilterBVeto | 200000 | 14762.77 | 0.053205  | 1.0 | 0.25463 | 2107.0  | 0.9751 | 0.013210254 | 
| 363115 | mc15_13TeV.363115.Sherpa_NNPDF30NNLO_Ztautau_Pt700_1000_CFilterBVeto | 30000 | 12213.0 | 0.0095498  | 1.0 | 0.25722 | 2107.0  | 0.9751 | 0.002395235 | 
| 363118 | mc15_13TeV.363118.Sherpa_NNPDF30NNLO_Ztautau_Pt1000_2000_CFilterBVeto | 20000 | 61384.19 | 0.0012388  | 1.0 | 0.26301 | 2107.0  | 0.9751 | 0.000317704 | 
| 363121 | mc15_13TeV.363121.Sherpa_NNPDF30NNLO_Ztautau_Pt2000_E_CMS_CFilterBVeto | 5100 | 3870491.91 | 4.541e-06  | 1.0 | 0.29017 | 2107.0  | 0.9751 | 1.285e-06 | 
| 363362 | mc15_13TeV.363362.Sherpa_NNPDF30NNLO_Ztautau_Pt0_70_CFilterBVeto | 1200000 | 4.86 | 2076.7  | 1.0 | 0.119 | 2107.0  | 0.9751 | 240.97383023 | 
| 363365 | mc15_13TeV.363365.Sherpa_NNPDF30NNLO_Zmumu_Pt0_70_CFilterBVeto | 1999500 | 8.12 | 2075.9  | 1.0 | 0.11858 | 2107.0  | 0.9751 | 240.030832472 | 
| 363368 | mc15_13TeV.363368.Sherpa_NNPDF30NNLO_Zmumu_Pt70_140_CFilterBVeto | 800000 | 55.68 | 71.743  | 1.0 | 0.20026 | 2107.0  | 0.9751 | 14.009508576 | 
| 363371 | mc15_13TeV.363371.Sherpa_NNPDF30NNLO_Zmumu_Pt140_280_CFilterBVeto | 800000 | 324.02 | 11.099  | 1.0 | 0.22245 | 2107.0  | 0.9751 | 2.407495134 | 
| 363374 | mc15_13TeV.363374.Sherpa_NNPDF30NNLO_Zmumu_Pt280_500_CFilterBVeto | 298600 | 1490.98 | 0.83155  | 1.0 | 0.24084 | 2107.0  | 0.9751 | 0.195283767 | 
| 363377 | mc15_13TeV.363377.Sherpa_NNPDF30NNLO_Zmumu_Pt500_700_CFilterBVeto | 200000 | 15037.55 | 0.052965  | 1.0 | 0.25111 | 2107.0  | 0.9751 | 0.01296887 | 
| 363380 | mc15_13TeV.363380.Sherpa_NNPDF30NNLO_Zmumu_Pt700_1000_CFilterBVeto | 30000 | 12337.58 | 0.0095439  | 1.0 | 0.25478 | 2107.0  | 0.9751 | 0.002371048 | 
| 363383 | mc15_13TeV.363383.Sherpa_NNPDF30NNLO_Zmumu_Pt1000_2000_CFilterBVeto | 20000 | 61139.9 | 0.0012528  | 1.0 | 0.26111 | 2107.0  | 0.9751 | 0.000318973 | 
| 363386 | mc15_13TeV.363386.Sherpa_NNPDF30NNLO_Zmumu_Pt2000_E_CMS_CFilterBVeto | 10000 | 7065947.06 | 5.2027e-06  | 1.0 | 0.27202 | 2107.0  | 0.9751 | 1.38e-06 | 
| 363389 | mc15_13TeV.363389.Sherpa_NNPDF30NNLO_Zee_Pt0_70_CFilterBVeto | 2000000 | 8.08 | 2078.5  | 1.0 | 0.11914 | 2107.0  | 0.9751 | 241.466440999 | 
| 363392 | mc15_13TeV.363392.Sherpa_NNPDF30NNLO_Zee_Pt70_140_CFilterBVeto | 800000 | 55.52 | 71.341  | 1.0 | 0.20196 | 2107.0  | 0.9751 | 14.049268454 | 
| 363395 | mc15_13TeV.363395.Sherpa_NNPDF30NNLO_Zee_Pt140_280_CFilterBVeto | 800000 | 321.47 | 11.051  | 1.0 | 0.22519 | 2107.0  | 0.9751 | 2.42660918 | 
| 363398 | mc15_13TeV.363398.Sherpa_NNPDF30NNLO_Zee_Pt280_500_CFilterBVeto | 281000 | 1381.66 | 0.8291  | 1.0 | 0.2453 | 2107.0  | 0.9751 | 0.198314112 | 
| 363401 | mc15_13TeV.363401.Sherpa_NNPDF30NNLO_Zee_Pt500_700_CFilterBVeto | 200000 | 15074.82 | 0.052912  | 1.0 | 0.25074 | 2107.0  | 0.9751 | 0.012936803 | 
| 363404 | mc15_13TeV.363404.Sherpa_NNPDF30NNLO_Zee_Pt700_1000_CFilterBVeto | 30000 | 12184.47 | 0.009431  | 1.0 | 0.26107 | 2107.0  | 0.9751 | 0.002400844 | 
| 363407 | mc15_13TeV.363407.Sherpa_NNPDF30NNLO_Zee_Pt1000_2000_CFilterBVeto | 20000 | 58603.31 | 0.0012711  | 1.0 | 0.26849 | 2107.0  | 0.9751 | 0.00033278 | 
| 363410 | mc15_13TeV.363410.Sherpa_NNPDF30NNLO_Zee_Pt2000_E_CMS_CFilterBVeto | 10000 | 8006840.21 | 4.7405e-06  | 1.0 | 0.26346 | 2107.0  | 0.9751 | 1.218e-06 | 
| 363413 | mc15_13TeV.363413.Sherpa_NNPDF30NNLO_Znunu_Pt0_70_CFilterBVeto | 5000000 | 3.85 | 11230.0  | 1.0 | 0.1155 | 11373.  | 0.9728 | 1261.784832 | 
| 363416 | mc15_13TeV.363416.Sherpa_NNPDF30NNLO_Znunu_Pt70_140_CFilterBVeto | 2000000 | 24.74 | 403.28  | 1.0 | 0.20046 | 11373.  | 0.9728 | 78.642619761 | 
| 363419 | mc15_13TeV.363419.Sherpa_NNPDF30NNLO_Znunu_Pt140_280_CFilterBVeto | 1926000 | 128.49 | 62.1  | 1.0 | 0.24137 | 11373.  | 0.9728 | 14.581374106 | 
| 363422 | mc15_13TeV.363422.Sherpa_NNPDF30NNLO_Znunu_Pt280_500_CFilterBVeto | 1000000 | 911.31 | 4.5967  | 1.0 | 0.23872 | 11373.  | 0.9728 | 1.067477005 | 
| 363425 | mc15_13TeV.363425.Sherpa_NNPDF30NNLO_Znunu_Pt500_700_CFilterBVeto | 600000 | 8292.66 | 0.28253  | 1.0 | 0.25609 | 11373.  | 0.9728 | 0.070385103 | 
| 363428 | mc15_13TeV.363428.Sherpa_NNPDF30NNLO_Znunu_Pt700_1000_CFilterBVeto | 100000 | 7503.76 | 0.050976  | 1.0 | 0.26143 | 11373.  | 0.9728 | 0.012964171 | 
| 363431 | mc15_13TeV.363431.Sherpa_NNPDF30NNLO_Znunu_Pt1000_2000_CFilterBVeto | 50000 | 28426.14 | 0.0066936  | 1.0 | 0.26278 | 11373.  | 0.9728 | 0.001711101 | 
| 363434 | mc15_13TeV.363434.Sherpa_NNPDF30NNLO_Znunu_Pt2000_E_CMS_CFilterBVeto | 30000 | 4404016.47 | 2.3947e-05  | 1.0 | 0.28446 | 11373.  | 0.9728 | 6.627e-06 | 
