| DSID |  Sample  | Total events | Sample Lumi [fb-1] | AMIXsec [pb] | BR  | FiltEff | Total higher order xsec [pb] | K-factor | Higher order xsec sample [pb] | 
| 363102 | mc15_13TeV.363102.Sherpa_NNPDF30NNLO_Ztautau_Pt70_140_CVetoBVeto | 1250000 | 26.07 | 71.687  | 1.0 | 0.66882 | 2107.0  | 0.9751 | 46.751851426 | 
| 363105 | mc15_13TeV.363105.Sherpa_NNPDF30NNLO_Ztautau_Pt140_280_CVetoBVeto | 500000 | 72.4 | 11.031  | 1.0 | 0.62603 | 2107.0  | 0.9751 | 6.73378408 | 
| 363108 | mc15_13TeV.363108.Sherpa_NNPDF30NNLO_Ztautau_Pt280_500_CVetoBVeto | 500000 | 1001.46 | 0.83515  | 1.0 | 0.59782 | 2107.0  | 0.9751 | 0.486837566 | 
| 363111 | mc15_13TeV.363111.Sherpa_NNPDF30NNLO_Ztautau_Pt500_700_CVetoBVeto | 297000 | 9626.3 | 0.053095  | 1.0 | 0.58109 | 2107.0  | 0.9751 | 0.030084735 | 
| 363114 | mc15_13TeV.363114.Sherpa_NNPDF30NNLO_Ztautau_Pt700_1000_CVetoBVeto | 50000 | 9050.65 | 0.0097332  | 1.0 | 0.56759 | 2107.0  | 0.9751 | 0.005386908 | 
| 363117 | mc15_13TeV.363117.Sherpa_NNPDF30NNLO_Ztautau_Pt1000_2000_CVetoBVeto | 30000 | 42060.39 | 0.0012574  | 1.0 | 0.56725 | 2107.0  | 0.9751 | 0.0006955 | 
| 363120 | mc15_13TeV.363120.Sherpa_NNPDF30NNLO_Ztautau_Pt2000_E_CMS_CVetoBVeto | 20000 | 8072560.1 | 4.7536e-06  | 1.0 | 0.52119 | 2107.0  | 0.9751 | 2.416e-06 | 
| 363361 | mc15_13TeV.363361.Sherpa_NNPDF30NNLO_Ztautau_Pt0_70_CVetoBVeto | 2000000 | 1.19 | 2076.5  | 1.0 | 0.81186 | 2107.0  | 0.9751 | 1643.85019048 | 
| 363364 | mc15_13TeV.363364.Sherpa_NNPDF30NNLO_Zmumu_Pt0_70_CVetoBVeto | 3000000 | 1.78 | 2077.0  | 1.0 | 0.81102 | 2107.0  | 0.9751 | 1642.54477535 | 
| 363367 | mc15_13TeV.363367.Sherpa_NNPDF30NNLO_Zmumu_Pt70_140_CVetoBVeto | 1250000 | 26.13 | 71.72  | 1.0 | 0.6669 | 2107.0  | 0.9751 | 46.639099307 | 
| 363370 | mc15_13TeV.363370.Sherpa_NNPDF30NNLO_Zmumu_Pt140_280_CVetoBVeto | 800000 | 115.11 | 11.105  | 1.0 | 0.62584 | 2107.0  | 0.9751 | 6.776899365 | 
| 363373 | mc15_13TeV.363373.Sherpa_NNPDF30NNLO_Zmumu_Pt280_500_CVetoBVeto | 500000 | 1012.2 | 0.83396  | 1.0 | 0.59232 | 2107.0  | 0.9751 | 0.481671305 | 
| 363376 | mc15_13TeV.363376.Sherpa_NNPDF30NNLO_Zmumu_Pt500_700_CVetoBVeto | 300000 | 9674.54 | 0.053138  | 1.0 | 0.58356 | 2107.0  | 0.9751 | 0.030237082 | 
| 363379 | mc15_13TeV.363379.Sherpa_NNPDF30NNLO_Zmumu_Pt700_1000_CVetoBVeto | 50000 | 9089.31 | 0.0095435  | 1.0 | 0.57641 | 2107.0  | 0.9751 | 0.005363995 | 
| 363382 | mc15_13TeV.363382.Sherpa_NNPDF30NNLO_Zmumu_Pt1000_2000_CVetoBVeto | 30000 | 42351.47 | 0.0012698  | 1.0 | 0.55785 | 2107.0  | 0.9751 | 0.00069072 | 
| 363385 | mc15_13TeV.363385.Sherpa_NNPDF30NNLO_Zmumu_Pt2000_E_CMS_CVetoBVeto | 20000 | 7955380.14 | 4.4846e-06  | 1.0 | 0.56059 | 2107.0  | 0.9751 | 2.451e-06 | 
| 363388 | mc15_13TeV.363388.Sherpa_NNPDF30NNLO_Zee_Pt0_70_CVetoBVeto | 3000000 | 1.78 | 2076.4  | 1.0 | 0.81072 | 2107.0  | 0.9751 | 1641.4628707 | 
| 363391 | mc15_13TeV.363391.Sherpa_NNPDF30NNLO_Zee_Pt70_140_CVetoBVeto | 1250000 | 26.05 | 71.681  | 1.0 | 0.66943 | 2107.0  | 0.9751 | 46.790575075 | 
| 363394 | mc15_13TeV.363394.Sherpa_NNPDF30NNLO_Zee_Pt140_280_CVetoBVeto | 800000 | 114.89 | 11.095  | 1.0 | 0.6276 | 2107.0  | 0.9751 | 6.789837772 | 
| 363397 | mc15_13TeV.363397.Sherpa_NNPDF30NNLO_Zee_Pt280_500_CVetoBVeto | 500000 | 1000.8 | 0.83477  | 1.0 | 0.59849 | 2107.0  | 0.9751 | 0.48716142 | 
| 363400 | mc15_13TeV.363400.Sherpa_NNPDF30NNLO_Zee_Pt500_700_CVetoBVeto | 300000 | 10173.15 | 0.053181  | 1.0 | 0.55451 | 2107.0  | 0.9751 | 0.02875511 | 
| 363403 | mc15_13TeV.363403.Sherpa_NNPDF30NNLO_Zee_Pt700_1000_CVetoBVeto | 50000 | 9004.5 | 0.0096374  | 1.0 | 0.57617 | 2107.0  | 0.9751 | 0.005414517 | 
| 363406 | mc15_13TeV.363406.Sherpa_NNPDF30NNLO_Zee_Pt1000_2000_CVetoBVeto | 30000 | 41923.22 | 0.0012529  | 1.0 | 0.57115 | 2107.0  | 0.9751 | 0.000697776 | 
