| DSID |  Sample  | Total events | Sample Lumi [fb-1] | AMIXsec [pb] | BR  | FiltEff | Total higher order xsec [pb] | K-factor | Higher order xsec sample [pb] | 
| 361374 | mc15_13TeV.361374.Sherpa_CT10_Zee_Pt0_70_BFilter | 2500000 | 14.23 | 2205.9  | 1.0 | 0.079669 | 2066.7294  | 0.9013 | 158.396126791 | 
| 361377 | mc15_13TeV.361377.Sherpa_CT10_Zee_Pt70_140_BFilter | 1115300 | 111.76 | 76.095  | 1.0 | 0.131146 | 2066.7294  | 0.9013 | 8.994572804 | 
| 361380 | mc15_13TeV.361380.Sherpa_CT10_Zee_Pt140_280_BFilter | 987050 | 563.31 | 11.653  | 1.0 | 0.150367 | 2066.7294  | 0.9013 | 1.579281881 | 
| 361383 | mc15_13TeV.361383.Sherpa_CT10_Zee_Pt280_500_BFilter | 300000 | 2509.04 | 0.76542  | 1.0 | 0.156212 | 2066.7294  | 0.9013 | 0.107766448 | 
| 361386 | mc15_13TeV.361386.Sherpa_CT10_Zee_Pt500_700_BFilter | 200000 | 25547.0 | 0.04647  | 1.0 | 0.168468 | 2066.7294  | 0.9013 | 0.007056014 | 
| 361389 | mc15_13TeV.361389.Sherpa_CT10_Zee_Pt700_1000_BFilter | 30000 | 20107.44 | 0.0081564  | 1.0 | 0.182922 | 2066.7294  | 0.9013 | 0.001344726 | 
| 361392 | mc15_13TeV.361392.Sherpa_CT10_Zee_Pt1000_2000_BFilter | 20000 | 98347.33 | 0.0010599  | 1.0 | 0.191868 | 2066.7294  | 0.9013 | 0.000183289 | 
| 361395 | mc15_13TeV.361395.Sherpa_CT10_Zee_Pt2000_E_CMS_BFilter | 9980 | 10833953.03 | 4.1479e-06  | 1.0 | 0.222083 | 2066.7294  | 0.9013 | 8.3e-07 | 
| 361398 | mc15_13TeV.361398.Sherpa_CT10_Zmumu_Pt0_70_BFilter | 2497400 | 14.23 | 2204.4  | 1.0 | 0.079624 | 2066.7294  | 0.9013 | 158.199011129 | 
| 361401 | mc15_13TeV.361401.Sherpa_CT10_Zmumu_Pt70_140_BFilter | 1120000 | 112.95 | 76.107  | 1.0 | 0.130293 | 2066.7294  | 0.9013 | 8.937479488 | 
| 361404 | mc15_13TeV.361404.Sherpa_CT10_Zmumu_Pt140_280_BFilter | 826900 | 479.42 | 11.652  | 1.0 | 0.148024 | 2066.7294  | 0.9013 | 1.554540292 | 
| 361407 | mc15_13TeV.361407.Sherpa_CT10_Zmumu_Pt280_500_BFilter | 300000 | 2384.94 | 0.7716  | 1.0 | 0.163024 | 2066.7294  | 0.9013 | 0.113373913 | 
| 361410 | mc15_13TeV.361410.Sherpa_CT10_Zmumu_Pt500_700_BFilter | 200000 | 24452.85 | 0.046356  | 1.0 | 0.176439 | 2066.7294  | 0.9013 | 0.007371738 | 
| 361413 | mc15_13TeV.361413.Sherpa_CT10_Zmumu_Pt700_1000_BFilter | 30000 | 20844.22 | 0.0080571  | 1.0 | 0.178631 | 2066.7294  | 0.9013 | 0.001297194 | 
| 361416 | mc15_13TeV.361416.Sherpa_CT10_Zmumu_Pt1000_2000_BFilter | 19240 | 91142.76 | 0.0010661  | 1.0 | 0.198009 | 2066.7294  | 0.9013 | 0.000190262 | 
| 361419 | mc15_13TeV.361419.Sherpa_CT10_Zmumu_Pt2000_E_CMS_BFilter | 9990 | 9592388.42 | 4.2224e-06  | 1.0 | 0.246649 | 2066.7294  | 0.9013 | 9.39e-07 | 
| 361422 | mc15_13TeV.361422.Sherpa_CT10_Ztautau_Pt0_70_BFilter | 2249000 | 12.88 | 2204.7  | 1.0 | 0.079215 | 2066.7294  | 0.9013 | 157.407818354 | 
| 361425 | mc15_13TeV.361425.Sherpa_CT10_Ztautau_Pt70_140_BFilter | 1118400 | 112.36 | 75.852  | 1.0 | 0.131225 | 2066.7294  | 0.9013 | 8.971250612 | 
| 361428 | mc15_13TeV.361428.Sherpa_CT10_Ztautau_Pt140_280_BFilter | 989600 | 596.89 | 11.669  | 1.0 | 0.14208 | 2066.7294  | 0.9013 | 1.494293679 | 
| 361431 | mc15_13TeV.361431.Sherpa_CT10_Ztautau_Pt280_500_BFilter | 300000 | 2484.47 | 0.76011  | 1.0 | 0.158859 | 2066.7294  | 0.9013 | 0.108832258 | 
| 361434 | mc15_13TeV.361434.Sherpa_CT10_Ztautau_Pt500_700_BFilter | 199980 | 25472.11 | 0.046059  | 1.0 | 0.170454 | 2066.7294  | 0.9013 | 0.007076053 | 
