| DSID |  Sample  | Total events | Sample Lumi [fb-1] | AMIXsec [pb] | BR  | FiltEff | Total higher order xsec [pb] | K-factor | Higher order xsec sample [pb] | 
| 361373 | mc15_13TeV.361373.Sherpa_CT10_Zee_Pt0_70_CFilterBVeto | 3200000 | 10.2 | 2205.4  | 1.0 | 0.142259 | 2066.7294  | 0.9013 | 282.772058138 | 
| 361376 | mc15_13TeV.361376.Sherpa_CT10_Zee_Pt70_140_CFilterBVeto | 500000 | 30.14 | 76.023  | 1.0 | 0.218226 | 2066.7294  | 0.9013 | 14.952742932 | 
| 361379 | mc15_13TeV.361379.Sherpa_CT10_Zee_Pt140_280_CFilterBVeto | 475000 | 168.62 | 11.502  | 1.0 | 0.244908 | 2066.7294  | 0.9013 | 2.538900646 | 
| 361382 | mc15_13TeV.361382.Sherpa_CT10_Zee_Pt280_500_CFilterBVeto | 300000 | 1502.69 | 0.76277  | 1.0 | 0.261732 | 2066.7294  | 0.9013 | 0.17993672 | 
| 361385 | mc15_13TeV.361385.Sherpa_CT10_Zee_Pt500_700_CFilterBVeto | 200000 | 15879.63 | 0.046402  | 1.0 | 0.271427 | 2066.7294  | 0.9013 | 0.011351653 | 
| 361388 | mc15_13TeV.361388.Sherpa_CT10_Zee_Pt700_1000_CFilterBVeto | 30000 | 12301.9 | 0.0081243  | 1.0 | 0.300167 | 2066.7294  | 0.9013 | 0.002197952 | 
| 361391 | mc15_13TeV.361391.Sherpa_CT10_Zee_Pt1000_2000_CFilterBVeto | 20000 | 60804.71 | 0.0010616  | 1.0 | 0.309836 | 2066.7294  | 0.9013 | 0.000296457 | 
| 361394 | mc15_13TeV.361394.Sherpa_CT10_Zee_Pt2000_E_CMS_CFilterBVeto | 10000 | 5861146.16 | 4.3389e-06  | 1.0 | 0.393222 | 2066.7294  | 0.9013 | 1.538e-06 | 
| 361397 | mc15_13TeV.361397.Sherpa_CT10_Zmumu_Pt0_70_CFilterBVeto | 3200000 | 10.23 | 2205.0  | 1.0 | 0.141881 | 2066.7294  | 0.9013 | 281.969546387 | 
| 361400 | mc15_13TeV.361400.Sherpa_CT10_Zmumu_Pt70_140_CFilterBVeto | 497600 | 29.81 | 76.117  | 1.0 | 0.219295 | 2066.7294  | 0.9013 | 15.044569464 | 
| 361403 | mc15_13TeV.361403.Sherpa_CT10_Zmumu_Pt140_280_CFilterBVeto | 452200 | 160.74 | 11.661  | 1.0 | 0.241249 | 2066.7294  | 0.9013 | 2.535541296 | 
| 361406 | mc15_13TeV.361406.Sherpa_CT10_Zmumu_Pt280_500_CFilterBVeto | 300000 | 1457.36 | 0.75652  | 1.0 | 0.272103 | 2066.7294  | 0.9013 | 0.185533832 | 
| 361409 | mc15_13TeV.361409.Sherpa_CT10_Zmumu_Pt500_700_CFilterBVeto | 200000 | 16156.27 | 0.04656  | 1.0 | 0.265874 | 2066.7294  | 0.9013 | 0.011157277 | 
| 361412 | mc15_13TeV.361412.Sherpa_CT10_Zmumu_Pt700_1000_CFilterBVeto | 30000 | 13165.32 | 0.0078922  | 1.0 | 0.28873 | 2066.7294  | 0.9013 | 0.002053806 | 
| 361415 | mc15_13TeV.361415.Sherpa_CT10_Zmumu_Pt1000_2000_CFilterBVeto | 20000 | 67908.35 | 0.0010425  | 1.0 | 0.282508 | 2066.7294  | 0.9013 | 0.000265446 | 
| 361418 | mc15_13TeV.361418.Sherpa_CT10_Zmumu_Pt2000_E_CMS_CFilterBVeto | 9980 | 7451121.1 | 4.1113e-06  | 1.0 | 0.325784 | 2066.7294  | 0.9013 | 1.207e-06 | 
| 361421 | mc15_13TeV.361421.Sherpa_CT10_Ztautau_Pt0_70_CFilterBVeto | 1199500 | 3.82 | 2204.1  | 1.0 | 0.142335 | 2066.7294  | 0.9013 | 282.756352896 | 
| 361424 | mc15_13TeV.361424.Sherpa_CT10_Ztautau_Pt70_140_CFilterBVeto | 498400 | 29.54 | 76.012  | 1.0 | 0.222003 | 2066.7294  | 0.9013 | 15.209340192 | 
| 361427 | mc15_13TeV.361427.Sherpa_CT10_Ztautau_Pt140_280_CFilterBVeto | 474200 | 168.98 | 11.61  | 1.0 | 0.241705 | 2066.7294  | 0.9013 | 2.529223599 | 
| 361430 | mc15_13TeV.361430.Sherpa_CT10_Ztautau_Pt280_500_CFilterBVeto | 299900 | 1532.26 | 0.76522  | 1.0 | 0.255775 | 2066.7294  | 0.9013 | 0.176406172 | 
| 361433 | mc15_13TeV.361433.Sherpa_CT10_Ztautau_Pt500_700_CFilterBVeto | 200000 | 16058.89 | 0.046053  | 1.0 | 0.270431 | 2066.7294  | 0.9013 | 0.011224933 | 
| 361436 | mc15_13TeV.361436.Sherpa_CT10_Ztautau_Pt700_1000_CFilterBVeto | 30000 | 12538.69 | 0.0080177  | 1.0 | 0.298414 | 2066.7294  | 0.9013 | 0.002156445 | 
| 361439 | mc15_13TeV.361439.Sherpa_CT10_Ztautau_Pt1000_2000_CFilterBVeto | 20000 | 54691.0 | 0.00105  | 1.0 | 0.348277 | 2066.7294  | 0.9013 | 0.000329597 | 
| 361442 | mc15_13TeV.361442.Sherpa_CT10_Ztautau_Pt2000_E_CMS_CFilterBVeto | 9980 | 6355348.18 | 4.3626e-06  | 1.0 | 0.359953 | 2066.7294  | 0.9013 | 1.415e-06 | 
| 361445 | mc15_13TeV.361445.Sherpa_CT10_Znunu_Pt0_70_CFilterBVeto | 2998000 | 1.79 | 11938.0  | 1.0 | 0.140128 | 11373.  | 0.9141 | 1529.1504153 | 
| 361448 | mc15_13TeV.361448.Sherpa_CT10_Znunu_Pt70_140_CFilterBVeto | 2499400 | 26.74 | 427.97  | 1.0 | 0.218402 | 11373.  | 0.9141 | 85.440473552 | 
| 361451 | mc15_13TeV.361451.Sherpa_CT10_Znunu_Pt140_280_CFilterBVeto | 2290400 | 146.18 | 65.543  | 1.0 | 0.239057 | 11373.  | 0.9141 | 14.322587689 | 
| 361454 | mc15_13TeV.361454.Sherpa_CT10_Znunu_Pt280_500_CFilterBVeto | 1600000 | 1441.05 | 4.2601  | 1.0 | 0.260628 | 11373.  | 0.9141 | 1.014926457 | 
| 361457 | mc15_13TeV.361457.Sherpa_CT10_Znunu_Pt500_700_CFilterBVeto | 515000 | 7379.28 | 0.25383  | 1.0 | 0.274948 | 11373.  | 0.9141 | 0.063795085 | 
| 361460 | mc15_13TeV.361460.Sherpa_CT10_Znunu_Pt700_1000_CFilterBVeto | 100000 | 7459.83 | 0.044115  | 1.0 | 0.303868 | 11373.  | 0.9141 | 0.012253636 | 
| 361463 | mc15_13TeV.361463.Sherpa_CT10_Znunu_Pt1000_2000_CFilterBVeto | 30000 | 17392.94 | 0.0055256  | 1.0 | 0.312154 | 11373.  | 0.9141 | 0.001576675 | 
| 361466 | mc15_13TeV.361466.Sherpa_CT10_Znunu_Pt2000_E_CMS_CFilterBVeto | 9880 | 1216585.91 | 2.3496e-05  | 1.0 | 0.345637 | 11373.  | 0.9141 | 7.423e-06 | 
| 407101 | mc15_13TeV.407101.Sherpa_CT10_Zee_LO_Pt0_70_CFilterBVeto | 2500000 | 8.67 | 2015.5  | 1.0 | 0.14309 | Undefined  | 1.0 | 288.397895 | 
| 407104 | mc15_13TeV.407104.Sherpa_CT10_Zee_LO_Pt70_140_CFilterBVeto | 1000000 | 65.93 | 67.274  | 1.0 | 0.22547 | Undefined  | 1.0 | 15.16826878 | 
| 407107 | mc15_13TeV.407107.Sherpa_CT10_Zee_LO_Pt140_280_CFilterBVeto | 100000 | 39.19 | 10.644  | 1.0 | 0.23973 | Undefined  | 1.0 | 2.55168612 | 
| 407110 | mc15_13TeV.407110.Sherpa_CT10_Zee_LO_Pt280_500_CFilterBVeto | 300000 | 1500.16 | 0.77752  | 1.0 | 0.2572 | Undefined  | 1.0 | 0.199978144 | 
