| DSID |  Sample  | Total events | Sample Lumi [fb-1] | AMIXsec [pb] | BR  | FiltEff | Total higher order xsec [pb] | K-factor | Higher order xsec sample [pb] | 
| 361372 | mc15_13TeV.361372.Sherpa_CT10_Zee_Pt0_70_CVetoBVeto | 6000000 | 3.49 | 2206.6  | 1.0 | 0.778989 | 2066.7294  | 0.9013 | 1549.26000693 | 
| 361375 | mc15_13TeV.361375.Sherpa_CT10_Zee_Pt70_140_CVetoBVeto | 1242500 | 25.32 | 75.852  | 1.0 | 0.646932 | 2066.7294  | 0.9013 | 44.22776987 | 
| 361378 | mc15_13TeV.361378.Sherpa_CT10_Zee_Pt140_280_CVetoBVeto | 1379400 | 191.08 | 11.696  | 1.0 | 0.617229 | 2066.7294  | 0.9013 | 6.506584189 | 
| 361381 | mc15_13TeV.361381.Sherpa_CT10_Zee_Pt280_500_CVetoBVeto | 500000 | 1106.56 | 0.76731  | 1.0 | 0.588874 | 2066.7294  | 0.9013 | 0.407251422 | 
| 361384 | mc15_13TeV.361384.Sherpa_CT10_Zee_Pt500_700_CVetoBVeto | 300000 | 11258.69 | 0.04616  | 1.0 | 0.577255 | 2066.7294  | 0.9013 | 0.024016122 | 
| 361387 | mc15_13TeV.361387.Sherpa_CT10_Zee_Pt700_1000_CVetoBVeto | 50000 | 10858.77 | 0.0081345  | 1.0 | 0.566055 | 2066.7294  | 0.9013 | 0.004150103 | 
| 361390 | mc15_13TeV.361390.Sherpa_CT10_Zee_Pt1000_2000_CVetoBVeto | 30000 | 53646.31 | 0.0010416  | 1.0 | 0.536884 | 2066.7294  | 0.9013 | 0.000504024 | 
| 361393 | mc15_13TeV.361393.Sherpa_CT10_Zee_Pt2000_E_CMS_CVetoBVeto | 20000 | 8994195.94 | 4.2785e-06  | 1.0 | 0.519728 | 2066.7294  | 0.9013 | 2.004e-06 | 
| 361396 | mc15_13TeV.361396.Sherpa_CT10_Zmumu_Pt0_70_CVetoBVeto | 6000000 | 3.5 | 2202.3  | 1.0 | 0.778381 | 2066.7294  | 0.9013 | 1545.03412569 | 
| 361399 | mc15_13TeV.361399.Sherpa_CT10_Zmumu_Pt70_140_CVetoBVeto | 1250000 | 25.37 | 75.904  | 1.0 | 0.649106 | 2066.7294  | 0.9013 | 44.406818306 | 
| 361402 | mc15_13TeV.361402.Sherpa_CT10_Zmumu_Pt140_280_CVetoBVeto | 1377400 | 193.88 | 11.646  | 1.0 | 0.610026 | 2066.7294  | 0.9013 | 6.403162188 | 
| 361405 | mc15_13TeV.361405.Sherpa_CT10_Zmumu_Pt280_500_CVetoBVeto | 500000 | 1119.42 | 0.76899  | 1.0 | 0.580841 | 2066.7294  | 0.9013 | 0.402575488 | 
| 361408 | mc15_13TeV.361408.Sherpa_CT10_Zmumu_Pt500_700_CVetoBVeto | 300000 | 11510.69 | 0.046017  | 1.0 | 0.566372 | 2066.7294  | 0.9013 | 0.023490348 | 
| 361411 | mc15_13TeV.361411.Sherpa_CT10_Zmumu_Pt700_1000_CVetoBVeto | 50000 | 11081.3 | 0.0080386  | 1.0 | 0.561305 | 2066.7294  | 0.9013 | 0.004066761 | 
| 361414 | mc15_13TeV.361414.Sherpa_CT10_Zmumu_Pt1000_2000_CVetoBVeto | 30000 | 47738.27 | 0.0011444  | 1.0 | 0.549132 | 2066.7294  | 0.9013 | 0.000566401 | 
| 361417 | mc15_13TeV.361417.Sherpa_CT10_Zmumu_Pt2000_E_CMS_CVetoBVeto | 20000 | 8145115.25 | 4.1112e-06  | 1.0 | 0.597261 | 2066.7294  | 0.9013 | 2.213e-06 | 
| 361420 | mc15_13TeV.361420.Sherpa_CT10_Ztautau_Pt0_70_CVetoBVeto | 2000000 | 1.17 | 2196.4  | 1.0 | 0.77814 | 2066.7294  | 0.9013 | 1540.4178651 | 
| 361423 | mc15_13TeV.361423.Sherpa_CT10_Ztautau_Pt70_140_CVetoBVeto | 1250000 | 25.23 | 76.468  | 1.0 | 0.647945 | 2066.7294  | 0.9013 | 44.65676361 | 
| 361426 | mc15_13TeV.361426.Sherpa_CT10_Ztautau_Pt140_280_CVetoBVeto | 1377600 | 192.33 | 11.656  | 1.0 | 0.614503 | 2066.7294  | 0.9013 | 6.455693712 | 
| 361429 | mc15_13TeV.361429.Sherpa_CT10_Ztautau_Pt280_500_CVetoBVeto | 500000 | 1123.63 | 0.76587  | 1.0 | 0.581019 | 2066.7294  | 0.9013 | 0.401065 | 
| 361432 | mc15_13TeV.361432.Sherpa_CT10_Ztautau_Pt500_700_CVetoBVeto | 300000 | 11511.8 | 0.046214  | 1.0 | 0.563903 | 2066.7294  | 0.9013 | 0.02348807 | 
| 361435 | mc15_13TeV.361435.Sherpa_CT10_Ztautau_Pt700_1000_CVetoBVeto | 50000 | 10970.82 | 0.0081358  | 1.0 | 0.560184 | 2066.7294  | 0.9013 | 0.004107715 | 
| 361438 | mc15_13TeV.361438.Sherpa_CT10_Ztautau_Pt1000_2000_CVetoBVeto | 30000 | 50804.9 | 0.0010477  | 1.0 | 0.56361 | 2066.7294  | 0.9013 | 0.000532212 | 
| 361441 | mc15_13TeV.361441.Sherpa_CT10_Ztautau_Pt2000_E_CMS_CVetoBVeto | 20000 | 8255837.19 | 4.0687e-06  | 1.0 | 0.595406 | 2066.7294  | 0.9013 | 2.183e-06 | 
| 361444 | mc15_13TeV.361444.Sherpa_CT10_Znunu_Pt0_70_CVetoBVeto | 10000000 | 1.08 | 11937.0  | 1.0 | 0.778461 | 11373.  | 0.9141 | 8494.26415559 | 
| 361447 | mc15_13TeV.361447.Sherpa_CT10_Znunu_Pt70_140_CVetoBVeto | 9000000 | 32.38 | 427.9  | 1.0 | 0.649624 | 11373.  | 0.9141 | 254.096133585 | 
| 361450 | mc15_13TeV.361450.Sherpa_CT10_Znunu_Pt140_280_CVetoBVeto | 2989800 | 74.26 | 65.587  | 1.0 | 0.61384 | 11373.  | 0.9141 | 36.801596602 | 
| 361453 | mc15_13TeV.361453.Sherpa_CT10_Znunu_Pt280_500_CVetoBVeto | 1700000 | 680.2 | 4.2674  | 1.0 | 0.585661 | 11373.  | 0.9141 | 2.284564198 | 
| 361456 | mc15_13TeV.361456.Sherpa_CT10_Znunu_Pt500_700_CVetoBVeto | 520000 | 3703.42 | 0.25297  | 1.0 | 0.555049 | 11373.  | 0.9141 | 0.128349462 | 
| 361459 | mc15_13TeV.361459.Sherpa_CT10_Znunu_Pt700_1000_CVetoBVeto | 200000 | 8044.78 | 0.044578  | 1.0 | 0.557693 | 11373.  | 0.9141 | 0.022725293 | 
| 361462 | mc15_13TeV.361462.Sherpa_CT10_Znunu_Pt1000_2000_CVetoBVeto | 50000 | 16481.74 | 0.0056735  | 1.0 | 0.534707 | 11373.  | 0.9141 | 0.002773069 | 
| 361465 | mc15_13TeV.361465.Sherpa_CT10_Znunu_Pt2000_E_CMS_CVetoBVeto | 19680 | 1584662.96 | 2.2845e-05  | 1.0 | 0.543622 | 11373.  | 0.9141 | 1.1352e-05 | 
| 407100 | mc15_13TeV.407100.Sherpa_CT10_Zee_LO_Pt0_70_CVetoBVeto | 6000000 | 3.87 | 2015.8  | 1.0 | 0.76987 | Undefined  | 1.0 | 1551.903946 | 
| 407103 | mc15_13TeV.407103.Sherpa_CT10_Zee_LO_Pt70_140_CVetoBVeto | 2000000 | 46.79 | 67.273  | 1.0 | 0.63535 | Undefined  | 1.0 | 42.74190055 | 
| 407106 | mc15_13TeV.407106.Sherpa_CT10_Zee_LO_Pt140_280_CVetoBVeto | 300000 | 45.82 | 10.669  | 1.0 | 0.61372 | Undefined  | 1.0 | 6.54777868 | 
| 407109 | mc15_13TeV.407109.Sherpa_CT10_Zee_LO_Pt280_500_CVetoBVeto | 1000000 | 2167.49 | 0.78024  | 1.0 | 0.59131 | Undefined  | 1.0 | 0.461363714 | 
| 407112 | mc15_13TeV.407112.Sherpa_CT10_Zee_LO_Pt500_700_CVetoBVeto | 300000 | 10772.9 | 0.048576  | 1.0 | 0.57328 | Undefined  | 1.0 | 0.027847649 | 
| 407115 | mc15_13TeV.407115.Sherpa_CT10_Zee_LO_Pt700_1000_CVetoBVeto | 50000 | 10164.28 | 0.0087722  | 1.0 | 0.56077 | Undefined  | 1.0 | 0.004919187 | 
| 407118 | mc15_13TeV.407118.Sherpa_CT10_Zee_LO_Pt1000_E_CMS_CVetoBVeto | 30000 | 45834.63 | 0.0011849  | 1.0 | 0.55239 | Undefined  | 1.0 | 0.000654527 | 
| 407121 | mc15_13TeV.407121.Sherpa_CT10_Zmumu_LO_Pt0_70_CVetoBVeto | 6000000 | 3.87 | 2015.4  | 1.0 | 0.76957 | Undefined  | 1.0 | 1550.991378 | 
| 407124 | mc15_13TeV.407124.Sherpa_CT10_Zmumu_LO_Pt70_140_CVetoBVeto | 2000000 | 46.79 | 67.328  | 1.0 | 0.63491 | Undefined  | 1.0 | 42.74722048 | 
| 407127 | mc15_13TeV.407127.Sherpa_CT10_Zmumu_LO_Pt140_280_CVetoBVeto | 300000 | 45.9 | 10.655  | 1.0 | 0.61347 | Undefined  | 1.0 | 6.53652285 | 
| 407130 | mc15_13TeV.407130.Sherpa_CT10_Zmumu_LO_Pt280_500_CVetoBVeto | 500000 | 1086.34 | 0.77951  | 1.0 | 0.59045 | Undefined  | 1.0 | 0.46026168 | 
| 407133 | mc15_13TeV.407133.Sherpa_CT10_Zmumu_LO_Pt500_700_CVetoBVeto | 300000 | 10741.51 | 0.048752  | 1.0 | 0.57288 | Undefined  | 1.0 | 0.027929046 | 
| 407136 | mc15_13TeV.407136.Sherpa_CT10_Zmumu_LO_Pt700_1000_CVetoBVeto | 50000 | 10145.51 | 0.0087842  | 1.0 | 0.56104 | Undefined  | 1.0 | 0.004928288 | 
| 407139 | mc15_13TeV.407139.Sherpa_CT10_Zmumu_LO_Pt1000_E_CMS_CVetoBVeto | 29400 | 44922.13 | 0.0011822  | 1.0 | 0.5536 | Undefined  | 1.0 | 0.000654466 | 
