## DSID    events    xsec[pb]*kfac*filter        lumi[fb-1]         name
---------  --------  --------------------------  -----------------  ------------------------------------------------------------------------------
##         ##        ====================        ##                 ##
##         ##        Diboson_DC14_MC15sim        ##                 ##
##         ##        ====================        ##                 ##
187150     100000    1.1792*1.0*1.0              84.8               mc12_13TeV.187150.PowhegPythia8_AU2CT10_WpWm_ee
187151     200000    1.179*1.0*1.0               169.64             mc12_13TeV.187151.PowhegPythia8_AU2CT10_WpWm_mue
187152     200000    1.179*1.0*1.0               169.64             mc12_13TeV.187152.PowhegPythia8_AU2CT10_WpWm_taue
187153     200000    1.179*1.0*1.0               169.64             mc12_13TeV.187153.PowhegPythia8_AU2CT10_WpWm_emu
187154     100000    1.1792*1.0*1.0              84.8               mc12_13TeV.187154.PowhegPythia8_AU2CT10_WpWm_mumu
187155     200000    1.179*1.0*1.0               169.64             mc12_13TeV.187155.PowhegPythia8_AU2CT10_WpWm_taumu
187156     200000    1.179*1.0*1.0               169.64             mc12_13TeV.187156.PowhegPythia8_AU2CT10_WpWm_etau
187157     200000    1.179*1.0*1.0               169.64             mc12_13TeV.187157.PowhegPythia8_AU2CT10_WpWm_mutau
187158     100000    1.1792*1.0*1.0              84.8               mc12_13TeV.187158.PowhegPythia8_AU2CT10_WpWm_tautau
187160     200000    1.688*1.0*0.28537           415.19             mc12_13TeV.187160.PowhegPythia8_AU2CT10_WmZ_3e_mll0p25_DiLeptonFilter
187161     200000    1.168*1.0*0.34095           502.22             mc12_13TeV.187161.PowhegPythia8_AU2CT10_WmZ_e2mu_mll0p4614_DiLeptonFilter
187162     100000    0.2141*1.0*0.16291          2867.05            mc12_13TeV.187162.PowhegPythia8_AU2CT10_WmZ_e2tau_mll3p804_DiLeptonFilter
187163     200000    1.769*1.0*0.28649           394.63             mc12_13TeV.187163.PowhegPythia8_AU2CT10_WmZ_mu2e_mll0p25_DiLeptonFilter
187164     200000    1.151*1.0*0.34169           508.54             mc12_13TeV.187164.PowhegPythia8_AU2CT10_WmZ_3mu_mll0p4614_DiLeptonFilter
187165     100000    0.2141*1.0*0.16358          2855.31            mc12_13TeV.187165.PowhegPythia8_AU2CT10_WmZ_mu2tau_mll3p804_DiLeptonFilter
187166     100000    1.769*1.0*0.14671           385.31             mc12_13TeV.187166.PowhegPythia8_AU2CT10_WmZ_tau2e_mll0p25_DiLeptonFilter
187167     100000    1.168*1.0*0.18525           462.17             mc12_13TeV.187167.PowhegPythia8_AU2CT10_WmZ_tau2mu_mll0p4614_DiLeptonFilter
187168     100000    0.2104*1.0*0.059701         7961.09            mc12_13TeV.187168.PowhegPythia8_AU2CT10_WmZ_3tau_mll3p804_DiLeptonFilter
187170     200000    2.354*1.0*0.27156           312.87             mc12_13TeV.187170.PowhegPythia8_AU2CT10_WpZ_3e_mll0p25_DiLeptonFilter
187171     200000    1.559*1.0*0.32575           393.82             mc12_13TeV.187171.PowhegPythia8_AU2CT10_WpZ_e2mu_mll0p4614_DiLeptonFilter
187172     100000    0.3129*1.0*0.16384          1950.63            mc12_13TeV.187172.PowhegPythia8_AU2CT10_WpZ_e2tau_mll3p804_DiLeptonFilter
187173     200000    2.371*1.0*0.2722            309.89             mc12_13TeV.187173.PowhegPythia8_AU2CT10_WpZ_mu2e_mll0p25_DiLeptonFilter
187174     200000    1.591*1.0*0.32682           384.64             mc12_13TeV.187174.PowhegPythia8_AU2CT10_WpZ_3mu_mll0p4614_DiLeptonFilter
187175     100000    0.3129*1.0*0.16329          1957.2             mc12_13TeV.187175.PowhegPythia8_AU2CT10_WpZ_mu2tau_mll3p804_DiLeptonFilter
187176     100000    2.371*1.0*0.13784           305.98             mc12_13TeV.187176.PowhegPythia8_AU2CT10_WpZ_tau2e_mll0p25_DiLeptonFilter
187177     100000    1.559*1.0*0.17402           368.6              mc12_13TeV.187177.PowhegPythia8_AU2CT10_WpZ_tau2mu_mll0p4614_DiLeptonFilter
187178     100000    0.3081*1.0*0.060375         5375.9             mc12_13TeV.187178.PowhegPythia8_AU2CT10_WpZ_3tau_mll3p804_DiLeptonFilter
187180     300000    0.1324*1.0*0.91935          2464.63            mc12_13TeV.187180.PowhegPythia8_AU2CT10_ZZ_4e_mll4_DiLeptonFilter
187181     300000    0.2961*1.0*0.849            1193.37            mc12_13TeV.187181.PowhegPythia8_AU2CT10_ZZ_2e2mu_mll4_DiLeptonFilter
187182     300000    0.2961*1.0*0.60915          1663.25            mc12_13TeV.187182.PowhegPythia8_AU2CT10_ZZ_2e2tau_mll4_DiLeptonFilter
187183     300000    0.1324*1.0*0.92286          2455.26            mc12_13TeV.187183.PowhegPythia8_AU2CT10_ZZ_4mu_mll4_DiLeptonFilter
187184     300000    0.2961*1.0*0.61565          1645.69            mc12_13TeV.187184.PowhegPythia8_AU2CT10_ZZ_2mu2tau_mll4_DiLeptonFilter
187185     300000    0.1324*1.0*0.11319          20018.21           mc12_13TeV.187185.PowhegPythia8_AU2CT10_ZZ_4tau_mll4_DiLeptonFilter
187186     100000    0.10323*1.0*1.0             968.71             mc12_13TeV.187186.PowhegPythia8_AU2CT10_ZZ_2e2nu_mll4
187187     100000    0.10323*1.0*1.0             968.71             mc12_13TeV.187187.PowhegPythia8_AU2CT10_ZZ_2mu2nu_mll4
187188     100000    0.10323*1.0*1.0             968.71             mc12_13TeV.187188.PowhegPythia8_AU2CT10_ZZ_2tau2nu_mll4
##         ##        ==============              ##                 ##
##         ##        Diboson_Powheg              ##                 ##
##         ##        ==============              ##                 ##
342556     9989000   1.2791*1.0*0.032522         240126.6           mc15_13TeV.342556.PowhegPy8EG_CT10nloME_AZNLOCTEQ6L1_ZZllll_mll4_m4l_100_150
342558     955000    5.2586*1.0*1.0              181.61             mc15_13TeV.342558.PowhegPy8EG_CT10nloME_AZNLOCTEQ6L1_ZZmmmm_mmm2mplus025
342559     985000    0.13727*1.0*1.0             7175.64            mc15_13TeV.342559.PowhegPy8EG_CT10nloME_AZNLOCTEQ6L1_ZZtttt_mtt2tplus025
343232     993000    1.2655*1.0*0.003682         213138.69          mc15_13TeV.343232.PowhegPy8EG_CT10nloME_AZNLOCTEQ6L1_ZZllll_mll4_m4l_500_13000
361600     1000000   10.631*1.0*1.0              94.06              mc15_13TeV.361600.PowhegPy8EG_CT10nloME_AZNLOCTEQ6L1_WWlvlv
361601     4955000   4.5023*1.0*1.0              1100.55            mc15_13TeV.361601.PowhegPy8EG_CT10nloME_AZNLOCTEQ6L1_WZlvll_mll4
361602     985000    2.7778*1.0*1.0              354.6              mc15_13TeV.361602.PowhegPy8EG_CT10nloME_AZNLOCTEQ6L1_WZlvvv_mll4
361603     3980000   1.2673*1.0*1.0              3140.53            mc15_13TeV.361603.PowhegPy8EG_CT10nloME_AZNLOCTEQ6L1_ZZllll_mll4
361604     995000    0.91795*1.0*1.0             1083.94            mc15_13TeV.361604.PowhegPy8EG_CT10nloME_AZNLOCTEQ6L1_ZZvvll_mll4
361605     200000    0.54901*1.0*1.0             364.29             mc15_13TeV.361605.PowhegPy8EG_CT10nloME_AZNLOCTEQ6L1_ZZvvvv_mll4
361606     4400000   44.18*1.0*1.0               99.59              mc15_13TeV.361606.PowhegPy8EG_CT10nloME_AZNLOCTEQ6L1_WWlvqq
361607     1490000   3.2777*1.0*1.0              454.59             mc15_13TeV.361607.PowhegPy8EG_CT10nloME_AZNLOCTEQ6L1_WZqqll_mll20
361608     2970000   5.7576*1.0*1.0              515.84             mc15_13TeV.361608.PowhegPy8EG_CT10nloME_AZNLOCTEQ6L1_WZqqvv
361609     9825000   10.086*1.0*1.0              974.12             mc15_13TeV.361609.PowhegPy8EG_CT10nloME_AZNLOCTEQ6L1_WZlvqq_mqq20
361610     3990000   2.2699*1.0*1.0              1757.79            mc15_13TeV.361610.PowhegPy8EG_CT10nloME_AZNLOCTEQ6L1_ZZqqll_mqq20mll20
361611     9965000   3.9422*1.0*1.0              2527.78            mc15_13TeV.361611.PowhegPy8EG_CT10nloME_AZNLOCTEQ6L1_ZZvvqq_mqq20
##         ##        ========================    ##                 ##
##         ##        Diboson_Sherpa_MassSlice    ##                 ##
##         ##        ========================    ##                 ##
302778     50000     0.0014036*1.0*1.0           35622.68           mc15_13TeV.302778.Sherpa_CT10_VV_evvv_500MT1000
302779     50000     6.6241e-05*1.0*1.0          754819.52          mc15_13TeV.302779.Sherpa_CT10_VV_evvv_1000MT2000
303014     200000    0.82795*1.0*1.0             241.56             mc15_13TeV.303014.Sherpa_CT10_VV_evev_50M150
303015     50000     0.23217*1.0*1.0             215.36             mc15_13TeV.303015.Sherpa_CT10_VV_evev_150M500
303016     50000     0.0093993*1.0*1.0           5319.55            mc15_13TeV.303016.Sherpa_CT10_VV_evev_500M1000
303017     49000     0.0011795*1.0*1.0           41543.03           mc15_13TeV.303017.Sherpa_CT10_VV_evev_1000M2000
303018     50000     0.00012414*1.0*1.0          402771.06          mc15_13TeV.303018.Sherpa_CT10_VV_evev_2000M3000
303019     50000     2.7399e-05*1.0*1.0          1824884.12         mc15_13TeV.303019.Sherpa_CT10_VV_evev_3000M4000
303020     50000     6.4562e-06*1.0*1.0          7744493.67         mc15_13TeV.303020.Sherpa_CT10_VV_evev_4000M5000
303021     49000     1.389e-06*1.0*1.0           35277177.83        mc15_13TeV.303021.Sherpa_CT10_VV_evev_5000M
303022     200000    1.4348*1.0*1.0              139.39             mc15_13TeV.303022.Sherpa_CT10_VV_llee_50M150
303023     50000     0.02*1.0*1.0                2500.0             mc15_13TeV.303023.Sherpa_CT10_VV_llee_150M500
303024     50000     0.00076199*1.0*1.0          65617.66           mc15_13TeV.303024.Sherpa_CT10_VV_llee_500M1000
303025     50000     4.9253e-05*1.0*1.0          1015166.59         mc15_13TeV.303025.Sherpa_CT10_VV_llee_1000M2000
303026     50000     1.3996e-06*1.0*1.0          35724492.71        mc15_13TeV.303026.Sherpa_CT10_VV_llee_2000M3000
303027     50000     8.2389e-08*1.0*1.0          606877131.66       mc15_13TeV.303027.Sherpa_CT10_VV_llee_3000M4000
303028     46500     6.3062e-09*1.0*1.0          7373695728.01      mc15_13TeV.303028.Sherpa_CT10_VV_llee_4000M5000
303029     48000     5.4441e-10*1.0*1.0          88168843335.0      mc15_13TeV.303029.Sherpa_CT10_VV_llee_5000M
303030     200000    0.91148*1.0*1.0             219.42             mc15_13TeV.303030.Sherpa_CT10_VV_lvee_50M150
303031     50000     257290.0*1.0*1.0            0.0                mc15_13TeV.303031.Sherpa_CT10_VV_lvee_150M500
303032     50000     0.0060272*1.0*1.0           8295.73            mc15_13TeV.303032.Sherpa_CT10_VV_lvee_500M1000
303033     50000     35096.0*1.0*1.0             0.0                mc15_13TeV.303033.Sherpa_CT10_VV_lvee_1000M2000
303034     49500     7.6162e-06*1.0*1.0          6499304.11         mc15_13TeV.303034.Sherpa_CT10_VV_lvee_2000M3000
303035     48500     4.0674e-07*1.0*1.0          119240792.64       mc15_13TeV.303035.Sherpa_CT10_VV_lvee_3000M4000
303036     48500     9.7264e-06*1.0*1.0          4986428.69         mc15_13TeV.303036.Sherpa_CT10_VV_lvee_4000M5000
303037     46000     2.4157e-06*1.0*1.0          19042099.6         mc15_13TeV.303037.Sherpa_CT10_VV_lvee_5000M
303038     200000    5.7027*1.0*1.0              35.07              mc15_13TeV.303038.Sherpa_CT10_VV_qqee_50M150
